"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,39;;
0,050;0,39;0,22;
0,100;0,41;0,29;1,01
0,150;0,42;0,32;0,47
0,200;0,44;0,32;0,15
0,250;0,46;0,33;0,00
0,300;0,47;0,33;-0,14
0,350;0,49;0,31;-0,36
0,400;0,50;0,29;-0,56
0,450;0,52;0,26;-0,74
0,500;0,53;0,21;-0,89
0,550;0,54;0,17;-1,01
0,600;0,55;0,11;-1,09
0,650;0,55;0,06;-1,14
0,700;0,55;0,00;-1,16
0,750;0,55;-0,06;-1,15
0,800;0,55;-0,12;-1,09
0,850;0,54;-0,17;-0,99
0,900;0,53;-0,22;-0,87
0,950;0,52;-0,26;-0,71
1,000;0,50;-0,29;-0,53
1,050;0,49;-0,31;-0,34
1,100;0,47;-0,33;-0,12
1,150;0,46;-0,33;0,10
1,200;0,44;-0,32;0,34
1,250;0,42;-0,29;0,56
1,300;0,41;-0,26;0,74
1,350;0,40;-0,22;0,87
1,400;0,39;-0,17;0,98
1,450;0,38;-0,12;1,07
1,500;0,38;-0,06;1,15
1,550;0,37;0,00;1,19
1,600;0,38;0,06;1,16
1,650;0,38;0,12;1,08
1,700;0,39;0,17;0,98
1,750;0,40;0,21;0,88
1,800;0,41;0,26;0,75
1,850;0,42;0,29;0,57
1,900;0,44;0,31;0,35
1,950;0,45;0,33;0,11
2,000;0,47;0,33;-0,12
2,050;0,49;0,31;-0,33
2,100;0,50;0,29;-0,53
2,150;0,52;0,26;-0,70
2,200;0,53;0,22;-0,86
2,250;0,54;0,17;-0,98
2,300;0,55;0,12;-1,08
2,350;0,55;0,06;-1,14
2,400;0,55;0,01;-1,16
2,450;0,55;-0,05;-1,15
2,500;0,55;-0,11;-1,10
2,550;0,54;-0,16;-1,00
2,600;0,53;-0,21;-0,88
2,650;0,52;-0,25;-0,73
2,700;0,51;-0,29;-0,56
2,750;0,49;-0,31;-0,37
2,800;0,47;-0,32;-0,16
2,850;0,46;-0,33;0,06
2,900;0,44;-0,32;0,30
2,950;0,43;-0,30;0,53
3,000;0,41;-0,26;0,73
3,050;0,40;-0,22;0,85
3,100;0,39;-0,18;0,94
3,150;0,38;-0,13;1,04
3,200;0,38;-0,07;1,14
3,250;0,37;-0,01;1,19
3,300;0,38;0,05;1,16
3,350;0,38;0,11;1,09
3,400;0,39;0,16;0,99
3,450;0,40;0,21;0,89
3,500;0,41;0,25;0,77
3,550;0,42;0,28;0,59
3,600;0,44;0,31;0,39
3,650;0,45;0,32;0,15
3,700;0,47;0,33;-0,08
3,750;0,48;0,32;-0,30
3,800;0,50;0,29;-0,50
3,850;0,51;0,26;-0,67
3,900;0,53;0,23;-0,83
3,950;0,54;0,18;-0,97
4,000;0,55;0,13;-1,06
4,050;0,55;0,07;-1,12
4,100;0,55;0,02;-1,15
4,150;0,55;-0,04;-1,15
4,200;0,55;-0,10;-1,10
4,250;0,54;-0,16;-1,02
4,300;0,53;-0,20;-0,90
4,350;0,52;-0,25;-0,76
4,400;0,51;-0,28;-0,59
4,450;0,49;-0,31;-0,39
4,500;0,48;-0,32;-0,18
4,550;0,46;-0,32;0,04
4,600;0,44;-0,32;0,27
4,650;0,43;-0,30;0,48
4,700;0,41;-0,27;0,67
4,750;0,40;-0,23;0,82
4,800;0,39;-0,18;0,95
4,850;0,38;-0,13;1,05
4,900;0,38;-0,08;1,13
4,950;0,37;-0,02;1,18
5,000;0,38;0,04;1,16
5,050;0,38;0,10;1,09
5,100;0,39;0,15;0,99
5,150;0,39;0,20;0,90
5,200;0,40;0,24;0,79
5,250;0,42;0,28;0,63
5,300;0,43;0,31;0,41
5,350;0,45;0,32;0,18
5,400;0,47;0,32;-0,04
5,450;0,48;0,32;-0,26
5,500;0,50;0,30;-0,46
5,550;0,51;0,27;-0,65
5,600;0,52;0,23;-0,81
5,650;0,54;0,19;-0,94
5,700;0,54;0,14;-1,04
