"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,68;;
0,050;0,67;-0,26;
0,100;0,66;-0,38;-2,45
0,150;0,63;-0,50;-2,20
0,200;0,61;-0,61;-1,89
0,250;0,57;-0,69;-1,49
0,300;0,54;-0,76;-1,00
0,350;0,50;-0,80;-0,45
0,400;0,45;-0,80;0,08
0,450;0,41;-0,78;0,55
0,500;0,38;-0,75;0,99
0,550;0,34;-0,69;1,48
0,600;0,31;-0,60;1,98
0,650;0,28;-0,48;2,45
0,700;0,26;-0,35;2,81
0,750;0,24;-0,20;2,98
0,800;0,24;-0,04;3,00
0,850;0,24;0,10;2,91
0,900;0,25;0,25;2,79
0,950;0,26;0,38;2,60
1,000;0,29;0,51;2,30
1,050;0,31;0,62;1,88
1,100;0,35;0,70;1,38
1,150;0,39;0,76;0,87
1,200;0,42;0,79;0,41
1,250;0,47;0,80;-0,05
1,300;0,51;0,79;-0,58
1,350;0,55;0,74;-1,13
1,400;0,58;0,67;-1,60
1,450;0,61;0,58;-1,95
1,500;0,64;0,47;-2,22
1,550;0,66;0,35;-2,48
1,600;0,67;0,22;-2,73
1,650;0,68;0,08;-2,89
1,700;0,68;-0,07;-2,87
1,750;0,67;-0,22;-2,70
1,800;0,66;-0,34;-2,47
1,850;0,64;-0,46;-2,23
1,900;0,61;-0,57;-1,97
1,950;0,58;-0,66;-1,62
2,000;0,55;-0,73;-1,16
2,050;0,51;-0,78;-0,62
2,100;0,47;-0,80;-0,09
2,150;0,43;-0,79;0,38
2,200;0,39;-0,76;0,82
2,250;0,35;-0,71;1,30
2,300;0,32;-0,63;1,80
2,350;0,29;-0,52;2,31
2,400;0,26;-0,40;2,70
2,450;0,25;-0,25;2,89
2,500;0,24;-0,10;2,93
2,550;0,24;0,04;2,92
2,600;0,24;0,19;2,90
2,650;0,26;0,34;2,78
2,700;0,28;0,48;2,45
2,750;0,31;0,59;1,99
2,800;0,34;0,68;1,48
2,850;0,38;0,74;1,00
2,900;0,41;0,77;0,57
2,950;0,45;0,79;0,10
3,000;0,49;0,79;-0,42
3,050;0,53;0,75;-0,97
3,100;0,57;0,69;-1,46
3,150;0,60;0,60;-1,83
3,200;0,63;0,50;-2,13
3,250;0,65;0,39;-2,38
3,300;0,67;0,26;-2,63
3,350;0,68;0,13;-2,82
3,400;0,68;-0,02;-2,88
3,450;0,68;-0,17;-2,78
3,500;0,67;-0,30;-2,56
3,550;0,65;-0,43;-2,31
3,600;0,62;-0,53;-2,04
3,650;0,59;-0,63;-1,72
3,700;0,56;-0,71;-1,32
3,750;0,52;-0,77;-0,82
3,800;0,48;-0,79;-0,26
3,850;0,44;-0,79;0,27
3,900;0,40;-0,76;0,76
3,950;0,36;-0,72;1,20
4,000;0,33;-0,64;1,64
4,050;0,30;-0,55;2,07
4,100;0,27;-0,44;2,48
4,150;0,25;-0,30;2,78
4,200;0,24;-0,15;2,95
4,250;0,24;0,00;3,00
4,300;0,24;0,15;2,95
4,350;0,25;0,30;2,79
4,400;0,27;0,43;2,49
4,450;0,30;0,55;2,08
4,500;0,33;0,64;1,63
4,550;0,36;0,71;1,17
4,600;0,40;0,76;0,74
4,650;0,44;0,79;0,28
4,700;0,48;0,79;-0,24
4,750;0,52;0,76;-0,79
4,800;0,56;0,71;-1,30
4,850;0,59;0,63;-1,72
4,900;0,62;0,53;-2,07
4,950;0,65;0,42;-2,35
5,000;0,66;0,30;-2,56
5,050;0,68;0,16;-2,71
5,100;0,68;0,02;-2,77
5,150;0,68;-0,12;-2,74
5,200;0,67;-0,25;-2,62
5,250;0,65;-0,38;-2,42
5,300;0,63;-0,50;-2,16
5,350;0,60;-0,60;-1,84
5,400;0,57;-0,68;-1,45
5,450;0,53;-0,75;-0,97
5,500;0,49;-0,79;-0,43
5,550;0,45;-0,79;0,11
5,600;0,41;-0,77;0,58
5,650;0,38;-0,73;1,01
5,700;0,34;-0,67;1,47
5,750;0,31;-0,58;1,93
5,800;0,28;-0,47;2,38
5,850;0,26;-0,35;2,75
5,900;0,25;-0,19;2,93
5,950;0,24;-0,04;2,93
6,000;0,24;0,10;2,86
6,050;0,25;0,24;2,81
6,100;0,27;0,38;2,66
6,150;0,29;0,52;2,30
6,200;0,32;0,62;1,81
6,250;0,35;0,70;1,28
6,300;0,39;0,75;0,80
6,350;0,43;0,77;0,38
6,400;0,47;0,78;-0,07
6,450;0,51;0,77;-0,59
6,500;0,55;0,73;-1,12
6,550;0,58;0,65;-1,59
6,600;0,61;0,56;-1,96
6,650;0,64;0,46;-2,24
6,700;0,66;0,34;-2,47
6,750;0,67;0,21;-2,65
6,800;0,68;0,07;-2,77
6,850;0,68;-0,07;-2,77
6,900;0,67;-0,21;-2,66
6,950;0,66;-0,34;-2,47
7,000;0,64;-0,46;-2,23
7,050;0,61;-0,57;-1,94
7,100;0,58;-0,66;-1,58
7,150;0,54;-0,73;-1,13
7,200;0,51;-0,77;-0,61
7,250;0,47;-0,79;-0,08
7,300;0,43;-0,78;0,43
7,350;0,39;-0,74;0,89
7,400;0,35;-0,69;1,33
7,450;0,32;-0,61;1,77
7,500;0,29;-0,51;2,25
7,550;0,27;-0,39;2,68
7,600;0,25;-0,23;2,88
7,650;0,24;-0,09;2,87
7,700;0,24;0,05;2,83
7,750;0,25;0,19;2,85
7,800;0,26;0,34;2,75
7,850;0,28;0,48;2,41
7,900;0,31;0,59;1,92
7,950;0,34;0,67;1,41
8,000;0,38;0,73;0,96
8,050;0,41;0,76;0,55
8,100;0,45;0,78;0,10
8,150;0,49;0,78;-0,42
8,200;0,53;0,74;-0,97
8,250;0,57;0,68;-1,46
8,300;0,60;0,59;-1,85
8,350;0,63;0,49;-2,16
8,400;0,65;0,37;-2,40
8,450;0,67;0,25;-2,59
8,500;0,68;0,11;-2,71
8,550;0,68;-0,03;-2,74
8,600;0,67;-0,16;-2,67
8,650;0,66;-0,30;-2,53
8,700;0,64;-0,42;-2,32
8,750;0,62;-0,53;-2,04
8,800;0,59;-0,63;-1,70
8,850;0,56;-0,70;-1,28
8,900;0,52;-0,76;-0,79
8,950;0,48;-0,78;-0,25
9,000;0,44;-0,78;0,27
9,050;0,40;-0,75;0,72
9,100;0,36;-0,71;1,17
9,150;0,33;-0,64;1,70
9,200;0,30;-0,54;2,26
9,250;0,27;-0,41;2,64
9,300;0,26;-0,26;2,70
9,350;0,25;-0,13;2,66
9,400;0,25;-0,01;2,74
9,450;0,25;0,14;2,89
9,500;0,26;0,29;2,86
9,550;0,28;0,43;2,54
9,600;0,30;0,55;2,06
9,650;0,33;0,64;1,57
9,700;0,37;0,71;1,11
9,750;0,40;0,75;0,70
9,800;0,44;0,77;0,25
9,850;0,48;0,78;-0,26
9,900;0,52;0,75;-0,81
9,950;0,56;0,69;-1,31
10,000;0,59;0,62;-1,72
