"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
9,250;0,70;-0,42;-3,08
9,300;0,68;-0,57;-2,73
9,350;0,64;-0,70;-2,32
9,400;0,61;-0,80;-1,89
9,450;0,56;-0,89;-1,40
9,500;0,52;-0,95;-0,80
9,550;0,47;-0,97;-0,14
9,600;0,42;-0,96;0,51
9,650;0,37;-0,92;1,09
9,700;0,32;-0,85;1,68
9,750;0,28;-0,75;2,27
9,800;0,25;-0,62;2,80
9,850;0,22;-0,47;3,16
9,900;0,20;-0,30;3,38
9,950;0,19;-0,13;3,57
10,000;0,19;0,06;3,68
10,050;0,20;0,25;3,58
10,100;0,21;0,42;3,24
10,150;0,24;0,57;2,80
10,200;0,27;0,70;2,36
10,250;0,31;0,81;1,87
10,300;0,35;0,90;1,32
10,350;0,40;0,94;0,72
10,400;0,45;0,97;0,10
10,450;0,50;0,96;-0,55
10,500;0,55;0,91;-1,18
10,550;0,59;0,83;-1,71
10,600;0,63;0,74;-2,17
10,650;0,66;0,62;-2,59
10,700;0,69;0,48;-2,97
10,750;0,71;0,32;-3,22
10,800;0,73;0,15;-3,34
10,850;0,73;-0,02;-3,36
10,900;0,72;-0,19;-3,31
10,950;0,71;-0,35;-3,14
11,000;0,69;-0,51;-2,85
11,050;0,66;-0,64;-2,49
11,100;0,62;-0,76;-2,08
11,150;0,58;-0,85;-1,61
11,200;0,54;-0,92;-1,05
11,250;0,49;-0,96;-0,41
11,300;0,44;-0,96;0,20
11,350;0,39;-0,93;
11,400;0,34;-0,89;
11,450;0,30;;
