"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,64;;
0,050;0,61;-0,63;
0,100;0,58;-0,71;-1,47
0,150;0,54;-0,77;-1,02
0,200;0,50;-0,81;-0,50
0,250;0,46;-0,82;0,06
0,300;0,41;-0,81;0,58
0,350;0,37;-0,76;1,04
0,400;0,34;-0,70;1,53
0,450;0,30;-0,61;2,06
0,500;0,27;-0,49;2,52
0,550;0,25;-0,35;2,82
0,600;0,24;-0,21;2,95
0,650;0,23;-0,06;2,97
0,700;0,23;0,09;2,96
0,750;0,24;0,24;2,92
0,800;0,26;0,39;2,80
0,850;0,28;0,52;2,49
0,900;0,31;0,65;1,96
0,950;0,34;0,73;1,35
1,000;0,39;0,77;0,82
1,050;0,42;0,80;0,40
1,100;0,46;0,81;-0,06
1,150;0,51;0,80;-0,59
1,200;0,55;0,76;-1,13
1,250;0,58;0,68;-1,58
1,300;0,62;0,60;-1,94
1,350;0,64;0,49;-2,29
1,400;0,67;0,37;-2,61
1,450;0,68;0,23;-2,83
1,500;0,69;0,08;-2,92
1,550;0,69;-0,07;-2,91
1,600;0,68;-0,21;-2,80
1,650;0,67;-0,35;-2,58
1,700;0,64;-0,48;-2,29
1,750;0,62;-0,58;-1,98
1,800;0,59;-0,67;-1,63
1,850;0,55;-0,75;-1,21
1,900;0,51;-0,80;-0,69
1,950;0,47;-0,82;-0,13
2,000;0,43;-0,81;0,39
2,050;0,39;-0,78;0,86
2,100;0,35;-0,72;1,34
2,150;0,31;-0,65;1,87
2,200;0,28;-0,54;2,38
2,250;0,26;-0,40;2,75
2,300;0,24;-0,25;2,93
2,350;0,23;-0,11;2,98
2,400;0,23;0,04;2,97
2,450;0,24;0,19;2,93
2,500;0,25;0,34;2,80
2,550;0,27;0,48;2,53
2,600;0,30;0,60;2,09
2,650;0,33;0,69;1,57
2,700;0,37;0,75;1,07
2,750;0,41;0,80;0,61
2,800;0,45;0,82;0,11
2,850;0,49;0,81;-0,45
