"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,45;;
0,050;0,49;0,89;
0,100;0,54;0,84;-1,18
0,150;0,58;0,77;-1,60
0,200;0,62;0,68;-1,98
0,250;0,65;0,57;-2,33
0,300;0,67;0,45;-2,67
0,350;0,69;0,31;-2,94
0,400;0,70;0,15;-3,10
0,450;0,71;-0,01;-3,15
0,500;0,70;-0,17;-3,09
0,550;0,69;-0,32;-2,93
0,600;0,67;-0,47;-2,65
0,650;0,64;-0,59;-2,30
0,700;0,61;-0,69;-1,92
0,750;0,57;-0,78;-1,49
0,800;0,53;-0,85;-0,98
0,850;0,49;-0,88;-0,39
0,900;0,44;-0,89;0,22
0,950;0,40;-0,86;0,78
1,000;0,36;-0,81;1,30
1,050;0,32;-0,73;1,79
1,100;0,28;-0,63;2,28
1,150;0,25;-0,50;2,76
1,200;0,23;-0,35;3,11
1,250;0,22;-0,18;3,28
1,300;0,21;-0,02;3,26
1,350;0,22;0,15;3,19
1,400;0,23;0,30;3,09
1,450;0,25;0,46;2,91
1,500;0,27;0,60;2,54
1,550;0,31;0,72;1,98
1,600;0,35;0,80;1,35
1,650;0,39;0,85;0,77
1,700;0,43;0,87;0,28
1,750;0,48;0,88;-0,23
1,800;0,52;0,86;-0,78
1,850;0,56;0,80;-1,31
1,900;0,60;0,72;-1,79
1,950;0,64;0,62;-2,23
2,000;0,66;0,50;-2,63
2,050;0,69;0,35;-2,91
2,100;0,70;0,20;-3,03
2,150;0,71;0,05;-3,07
2,200;0,70;-0,11;-3,06
2,250;0,70;-0,26;-2,99
2,300;0,68;-0,41;-2,77
2,350;0,65;-0,54;-2,43
2,400;0,62;-0,66;-2,04
2,450;0,59;-0,75;-1,64
2,500;0,55;-0,82;-1,17
2,550;0,50;-0,87;-0,61
2,600;0,46;-0,88;0,00
2,650;0,41;-0,87;0,59
2,700;0,37;-0,82;1,13
2,750;0,33;-0,75;1,62
2,800;0,30;-0,66;2,08
2,850;0,26;-0,55;2,52
2,900;0,24;-0,41;2,91
2,950;0,22;-0,25;3,19
3,000;0,21;-0,08;3,29
3,050;0,21;0,08;3,26
3,100;0,22;0,24;3,15
3,150;0,24;0,40;2,99
3,200;0,26;0,55;2,68
3,250;0,29;0,68;2,18
3,300;0,33;0,77;1,55
3,350;0,37;0,83;0,97
3,400;0,41;0,86;0,49
3,450;0,46;0,88;-0,01
3,500;0,50;0,87;-0,59
3,550;0,55;0,82;-1,16
3,600;0,59;0,74;-1,65
3,650;0,62;0,65;-2,05
3,700;0,65;0,54;-2,43
3,750;0,68;0,41;-2,77
3,800;0,69;0,26;-2,98
3,850;0,70;0,10;-3,07
3,900;0,70;-0,05;-3,08
3,950;0,70;-0,21;-3,03
4,000;0,68;-0,36;-2,85
4,050;0,66;-0,50;-2,54
4,100;0,63;-0,61;-2,18
4,150;0,60;-0,71;-1,79
4,200;0,56;-0,79;-1,33
4,250;0,52;-0,85;-0,78
4,300;0,48;-0,87;-0,21
4,350;0,43;-0,87;0,30
4,400;0,39;-0,84;0,78
4,450;0,35;-0,79;1,34
4,500;0,31;-0,71;1,97
4,550;0,27;-0,59;2,54
4,600;0,25;-0,45;2,91
4,650;0,23;-0,29;3,10
4,700;0,22;-0,14;3,17
4,750;0,22;0,02;3,19
4,800;0,22;0,18;3,18
4,850;0,23;0,34;3,05
4,900;0,25;0,50;2,75
4,950;0,28;0,63;2,28
5,000;0,32;0,73;1,76
5,050;0,36;0,80;1,25
5,100;0,40;0,85;0,75
5,150;0,44;0,88;0,20
5,200;0,49;0,87;-0,40
5,250;0,53;0,84;-0,99
5,300;0,57;0,77;-1,51
5,350;0,61;0,68;-1,93
5,400;0,64;0,57;-2,27
5,450;0,67;0,45;-2,57
5,500;0,69;0,32;-2,84
5,550;0,70;0,17;-3,04
5,600;0,70;0,01;-3,12
5,650;0,70;-0,15;-3,07
5,700;0,69;-0,30;-2,89
5,750;0,67;-0,44;-2,61
5,800;0,64;-0,57;-2,29
5,850;0,61;-0,67;-1,95
5,900;0,58;-0,76;-1,54
5,950;0,54;-0,83;-1,04
6,000;0,49;-0,87;-0,45
6,050;0,45;-0,88;0,15
6,100;0,40;-0,85;0,72
6,150;0,36;-0,80;1,22
6,200;0,32;-0,73;1,71
6,250;0,29;-0,63;2,23
6,300;0,26;-0,51;2,72
6,350;0,24;-0,35;3,04
6,400;0,22;-0,19;3,16
6,450;0,22;-0,04;3,18
6,500;0,22;0,12;3,18
6,550;0,23;0,28;3,11
6,600;0,25;0,44;2,89
6,650;0,27;0,58;2,49
6,700;0,31;0,69;1,96
6,750;0,34;0,78;1,39
6,800;0,39;0,83;0,84
6,850;0,43;0,86;0,36
6,900;0,47;0,87;-0,15
6,950;0,52;0,85;-0,72
7,000;0,56;0,79;-1,30
7,050;0,60;0,71;-1,78
7,100;0,63;0,61;-2,14
7,150;0,66;0,50;-2,45
7,200;0,68;0,37;-2,74
7,250;0,70;0,22;-2,96
7,300;0,70;0,07;-3,08
7,350;0,70;-0,09;-3,09
7,400;0,69;-0,24;-2,98
7,450;0,68;-0,39;-2,75
7,500;0,65;-0,52;-2,42
7,550;0,62;-0,64;-2,04
7,600;0,59;-0,73;-1,66
7,650;0,55;-0,80;-1,20
7,700;0,51;-0,85;-0,65
7,750;0,46;-0,87;-0,05
7,800;0,42;-0,86;0,52
7,850;0,38;-0,82;1,03
7,900;0,34;-0,75;1,52
7,950;0,30;-0,67;2,01
8,000;0,27;-0,55;2,49
8,050;0,24;-0,41;2,89
8,100;0,23;-0,26;3,16
8,150;0,22;-0,09;3,25
8,200;0,22;0,07;3,19
8,250;0,23;0,23;3,03
8,300;0,24;0,38;2,85
8,350;0,26;0,51;2,63
8,400;0,29;0,65;2,22
8,450;0,33;0,75;1,63
8,500;0,37;0,81;1,03
8,550;0,41;0,84;0,54
8,600;0,46;0,86;0,05
8,650;0,50;0,86;-0,52
8,700;0,54;0,81;-1,11
8,750;0,58;0,74;-1,60
8,800;0,62;0,65;-1,98
8,850;0,65;0,54;-2,32
8,900;0,67;0,42;-2,64
8,950;0,69;0,27;-2,91
9,000;0,70;0,12;-3,08
9,050;0,70;-0,04;-3,10
9,100;0,70;-0,19;-2,99
9,150;0,68;-0,34;-2,76
9,200;0,66;-0,47;-2,49
9,250;0,63;-0,59;-2,18
9,300;0,60;-0,69;-1,83
9,350;0,56;-0,78;-1,39
