"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,17;;
0,050;0,17;0,25;
0,100;0,19;0,44;3,73
0,150;0,22;0,62;3,31
0,200;0,25;0,77;2,83
0,250;0,30;0,91;2,20
0,300;0,35;1,00;1,43
0,350;0,40;1,05;0,66
0,400;0,45;1,06;-0,04
0,450;0,51;1,05;-0,69
0,500;0,56;0,99;-1,32
0,550;0,61;0,91;-1,91
0,600;0,65;0,80;-2,46
0,650;0,69;0,66;-2,97
0,700;0,72;0,50;-3,31
0,750;0,74;0,32;-3,45
0,800;0,75;0,15;-3,49
0,850;0,75;-0,02;-3,55
0,900;0,75;-0,20;-3,58
0,950;0,73;-0,39;-3,46
1,000;0,71;-0,56;-3,19
1,050;0,68;-0,71;-2,79
1,100;0,64;-0,84;-2,29
1,150;0,59;-0,94;-1,71
1,200;0,54;-1,01;-1,07
1,250;0,49;-1,05;-0,41
1,300;0,43;-1,05;0,24
1,350;0,38;-1,02;0,90
1,400;0,33;-0,96;1,58
1,450;0,29;-0,87;2,27
1,500;0,24;-0,73;2,90
1,550;0,21;-0,57;3,35
1,600;0,19;-0,39;3,62
1,650;0,17;-0,21;3,74
1,700;0,17;-0,02;3,78
1,750;0,17;0,18;3,74
1,800;0,18;0,36;3,61
1,850;0,21;0,54;3,38
1,900;0,24;0,70;3,02
1,950;0,28;0,85;2,45
2,000;0,32;0,96;1,70
2,050;0,38;1,02;0,94
2,100;0,43;1,04;0,28
2,150;0,48;1,05;-0,34
2,200;0,53;1,02;-0,98
2,250;0,58;0,95;-1,61
2,300;0,63;0,85;-2,21
2,350;0,67;0,73;-2,78
2,400;0,70;0,57;-3,18
2,450;0,73;0,39;-3,32
2,500;0,74;0,23;-3,32
2,550;0,75;0,07;-3,41
2,600;0,75;-0,10;-3,60
2,650;0,74;-0,30;-3,60
2,700;0,72;-0,48;-3,37
2,750;0,69;-0,63;-2,97
2,800;0,65;-0,78;-2,50
2,850;0,61;-0,89;-1,98
2,900;0,56;-0,97;-1,40
2,950;0,51;-1,03;-0,76
3,000;0,46;-1,05;-0,08
3,050;0,41;-1,04;0,62
3,100;0,36;-0,99;1,28
3,150;0,31;-0,91;1,93
3,200;0,26;-0,80;2,57
3,250;0,23;-0,65;3,13
3,300;0,20;-0,48;3,52
3,350;0,18;-0,29;3,71
