"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
9,250;0,49;-0,02;-0,43
9,300;0,49;-0,04;-0,40
9,350;0,49;-0,06;-0,35
9,400;0,48;-0,08;-0,30
9,450;0,48;-0,09;-0,24
9,500;0,47;-0,10;-0,18
9,550;0,47;-0,11;-0,12
9,600;0,46;-0,11;-0,07
9,650;0,46;-0,12;-0,02
9,700;0,45;-0,12;0,04
9,750;0,44;-0,11;0,13
9,800;0,44;-0,10;0,22
9,850;0,43;-0,09;0,34
9,900;0,43;-0,07;0,41
9,950;0,43;-0,05;0,44
10,000;0,43;-0,02;0,43
10,050;0,43;0,00;0,42
10,100;0,43;0,02;0,42
10,150;0,43;0,04;0,41
10,200;0,43;0,06;0,38
10,250;0,43;0,08;0,33
10,300;0,44;0,09;0,27
10,350;0,44;0,10;0,21
10,400;0,45;0,11;0,14
10,450;0,45;0,12;0,06
10,500;0,46;0,12;-0,02
10,550;0,47;0,12;-0,10
10,600;0,47;0,11;-0,18
10,650;0,48;0,10;
10,700;0,48;0,08;
10,750;0,49;;
