"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,22;;
0,050;0,24;0,65;
0,100;0,28;0,84;3,26
0,150;0,33;0,97;1,97
0,200;0,38;1,03;0,93
0,250;0,43;1,05;0,14
0,300;0,49;1,05;-0,56
0,350;0,54;1,00;-1,28
0,400;0,59;0,91;-1,97
0,450;0,63;0,80;-2,48
0,500;0,67;0,66;-2,80
0,550;0,70;0,51;-3,01
0,600;0,72;0,36;-3,21
0,650;0,73;0,19;-3,41
0,700;0,74;0,01;-3,52
0,750;0,73;-0,17;-3,44
0,800;0,72;-0,34;-3,24
0,850;0,70;-0,49;-3,04
0,900;0,67;-0,64;-2,84
0,950;0,64;-0,78;-2,55
1,000;0,60;-0,90;-2,06
1,050;0,55;-0,99;-1,39
1,100;0,50;-1,04;-0,66
1,150;0,44;-1,05;0,05
1,200;0,39;-1,03;0,78
1,250;0,34;-0,98;1,64
1,300;0,29;-0,87;2,47
1,350;0,25;-0,72;3,00
1,400;0,22;-0,56;3,17
1,450;0,19;-0,40;3,26
1,500;0,18;-0,24;3,45
1,550;0,17;-0,06;3,58
1,600;0,17;0,13;3,53
1,650;0,18;0,30;3,37
1,700;0,20;0,46;3,25
1,750;0,23;0,62;3,10
1,800;0,26;0,78;2,73
1,850;0,31;0,91;2,10
1,900;0,36;0,99;1,34
1,950;0,41;1,04;0,57
2,000;0,46;1,05;-0,18
2,050;0,51;1,03;-0,95
2,100;0,56;0,96;-1,67
2,150;0,61;0,85;-2,27
2,200;0,65;0,72;-2,69
2,250;0,68;0,58;-2,97
2,300;0,71;0,42;-3,16
2,350;0,73;0,26;-3,30
2,400;0,74;0,09;-3,40
2,450;0,74;-0,08;-3,41
2,500;0,73;-0,25;-3,32
2,550;0,71;-0,42;-3,17
2,600;0,69;-0,57;-2,98
2,650;0,65;-0,72;-2,71
2,700;0,61;-0,85;-2,30
2,750;0,57;-0,95;-1,71
2,800;0,52;-1,02;-0,99
2,850;0,46;-1,05;-0,22
2,900;0,41;-1,04;0,53
2,950;0,36;-1,00;1,31
3,000;0,31;-0,92;2,11
3,050;0,26;-0,78;2,76
3,100;0,23;-0,62;3,10
3,150;0,20;-0,47;3,23
3,200;0,18;-0,31;3,34
3,250;0,17;-0,13;3,48
3,300;0,17;0,05;3,52
3,350;0,18;0,23;3,42
3,400;0,19;0,39;3,28
3,450;0,22;0,55;3,17
3,500;0,25;0,71;2,97
3,550;0,29;0,86;2,44
3,600;0,34;0,97;1,63
3,650;0,39;1,02;0,80
3,700;0,44;1,04;0,10
3,750;0,49;1,03;-0,57
3,800;0,54;0,99;-1,30
3,850;0,59;0,90;-2,01
3,900;0,63;0,78;-2,52
3,950;0,67;0,64;-2,82
4,000;0,70;0,49;-3,01
4,050;0,72;0,34;-3,21
4,100;0,73;0,17;-3,40
4,150;0,74;-0,01;-3,48
4,200;0,73;-0,18;-3,38
4,250;0,72;-0,35;-3,19
4,300;0,70;-0,50;-3,00
4,350;0,67;-0,65;-2,80
4,400;0,63;-0,78;-2,50
4,450;0,59;-0,90;-1,99
4,500;0,54;-0,99;-1,28
4,550;0,49;-1,04;-0,53
4,600;0,44;-1,04;0,15
4,650;0,38;-1,02;0,88
4,700;0,33;-0,96;1,74
4,750;0,28;-0,84;2,53
4,800;0,25;-0,69;2,99
4,850;0,22;-0,53;3,14
4,900;0,19;-0,38;3,25
4,950;0,18;-0,21;3,42
5,000;0,17;-0,03;3,49
5,050;0,17;0,15;3,41
5,100;0,19;0,31;3,33
5,150;0,21;0,47;3,31
5,200;0,23;0,64;3,17
5,250;0,27;0,80;2,65
5,300;0,32;0,92;1,89
5,350;0,36;0,99;1,14
5,400;0,42;1,03;0,47
5,450;0,47;1,04;-0,22
5,500;0,52;1,01;-1,03
5,550;0,57;0,94;-1,77
5,600;0,61;0,82;-2,33
5,650;0,65;0,69;-2,69
5,700;0,68;0,55;-2,92
5,750;0,71;0,40;-3,12
5,800;0,73;0,24;-3,27
5,850;0,73;0,07;-3,37
5,900;0,73;-0,10;-3,38
5,950;0,72;-0,27;-3,28
6,000;0,71;-0,43;-3,09
6,050;0,68;-0,58;-2,87
6,100;0,65;-0,72;-2,61
6,150;0,61;-0,84;-2,25
6,200;0,56;-0,95;-1,70
6,250;0,51;-1,02;-0,94
6,300;0,46;-1,05;-0,10
6,350;0,40;-1,03;0,71
6,400;0,35;-0,97;1,46
6,450;0,31;-0,88;2,12
6,500;0,26;-0,76;2,63
6,550;0,23;-0,61;2,98
6,600;0,20;-0,45;3,23
6,650;0,18;-0,29;3,43
6,700;0,17;-0,11;3,55
6,750;0,17;0,07;3,50
6,800;0,18;0,25;3,31
6,850;0,20;0,40;3,14
6,900;0,22;0,55;3,04
6,950;0,25;0,71;2,86
7,000;0,29;0,86;2,35
7,050;0,34;0,96;1,57
7,100;0,39;1,01;0,78
7,150;0,44;1,03;0,09
7,200;0,50;1,02;-0,60
7,250;0,55;0,97;-1,38
