"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,43;;
0,050;0,46;0,49;
0,100;0,48;0,49;-0,18
0,150;0,51;0,47;-0,66
0,200;0,53;0,42;-0,99
0,250;0,55;0,37;-1,20
0,300;0,57;0,30;-1,37
0,350;0,58;0,23;-1,53
0,400;0,59;0,15;-1,65
0,450;0,60;0,06;-1,71
0,500;0,60;-0,02;-1,72
0,550;0,59;-0,11;-1,68
0,600;0,59;-0,19;-1,59
0,650;0,57;-0,27;-1,45
0,700;0,56;-0,34;-1,25
0,750;0,54;-0,40;-1,01
0,800;0,52;-0,44;-0,74
0,850;0,49;-0,47;-0,44
0,900;0,47;-0,49;-0,10
0,950;0,45;-0,48;0,24
1,000;0,42;-0,46;0,56
1,050;0,40;-0,43;0,83
1,100;0,38;-0,38;1,08
1,150;0,36;-0,32;1,33
1,200;0,35;-0,24;1,53
1,250;0,34;-0,16;1,68
1,300;0,33;-0,07;1,76
1,350;0,33;0,02;1,78
1,400;0,33;0,11;1,75
1,450;0,34;0,19;1,66
1,500;0,35;0,28;1,47
1,550;0,37;0,34;1,22
1,600;0,39;0,40;0,96
1,650;0,41;0,44;0,72
1,700;0,43;0,47;0,46
1,750;0,45;0,49;0,13
1,800;0,48;0,48;-0,22
1,850;0,50;0,46;-0,56
1,900;0,53;0,43;-0,85
1,950;0,55;0,38;-1,10
2,000;0,56;0,32;-1,32
2,050;0,58;0,24;-1,49
2,100;0,59;0,16;-1,62
2,150;0,59;0,08;-1,70
2,200;0,60;-0,01;-1,72
2,250;0,59;-0,09;-1,68
2,300;0,59;-0,18;-1,60
2,350;0,58;-0,26;-1,47
2,400;0,56;-0,33;-1,29
2,450;0,54;-0,39;-1,06
2,500;0,52;-0,43;-0,79
2,550;0,50;-0,47;-0,49
2,600;0,48;-0,48;-0,16
2,650;0,45;-0,48;0,18
2,700;0,43;-0,46;0,50
2,750;0,40;-0,43;0,77
2,800;0,38;-0,39;1,01
2,850;0,36;-0,33;1,26
2,900;0,35;-0,26;1,49
2,950;0,34;-0,18;1,66
3,000;0,33;-0,09;1,75
3,050;0,33;0,00;1,78
3,100;0,33;0,09;1,76
3,150;0,34;0,18;1,67
3,200;0,35;0,26;1,49
3,250;0,36;0,33;1,26
3,300;0,38;0,38;1,01
3,350;0,40;0,43;0,77
3,400;0,43;0,46;0,51
3,450;0,45;0,48;0,19
3,500;0,47;0,48;-0,15
3,550;0,50;0,47;-0,49
3,600;0,52;0,43;-0,79
3,650;0,54;0,39;-1,05
3,700;0,56;0,33;-1,27
3,750;0,58;0,26;-1,45
3,800;0,59;0,18;-1,59
3,850;0,59;0,10;-1,68
3,900;0,60;0,01;-1,71
3,950;0,59;-0,08;-1,69
4,000;0,59;-0,16;-1,62
4,050;0,58;-0,24;-1,49
4,100;0,56;-0,31;-1,32
4,150;0,55;-0,37;-1,10
4,200;0,53;-0,42;-0,85
4,250;0,50;-0,46;-0,56
4,300;0,48;-0,48;-0,23
4,350;0,46;-0,48;0,12
4,400;0,43;-0,47;0,45
4,450;0,41;-0,44;0,73
4,500;0,39;-0,39;0,96
4,550;0,37;-0,34;1,21
4,600;0,35;-0,27;1,44
4,650;0,34;-0,19;1,62
4,700;0,33;-0,11;1,73
4,750;0,33;-0,02;1,77
4,800;0,33;0,07;1,75
4,850;0,34;0,16;1,67
4,900;0,35;0,24;1,52
4,950;0,36;0,31;1,31
5,000;0,38;0,37;1,08
5,050;0,40;0,42;0,83
5,100;0,42;0,46;0,55
5,150;0,45;0,48;0,25
5,200;0,47;0,48;-0,09
5,250;0,49;0,47;-0,42
5,300;0,52;0,44;-0,73
5,350;0,54;0,39;-1,00
5,400;0,56;0,34;-1,23
5,450;0,57;0,27;-1,42
5,500;0,58;0,19;-1,57
5,550;0,59;0,11;-1,66
5,600;0,60;0,03;-1,70
5,650;0,59;-0,06;-1,68
5,700;0,59;-0,14;-1,62
5,750;0,58;-0,22;-1,51
5,800;0,57;-0,30;-1,35
5,850;0,55;-0,36;-1,14
5,900;0,53;-0,41;-0,89
5,950;0,51;-0,45;-0,61
6,000;0,48;-0,48;-0,30
6,050;0,46;-0,48;0,04
6,100;0,44;-0,47;0,39
6,150;0,41;-0,44;0,69
6,200;0,39;-0,40;0,94
6,250;0,37;-0,35;1,16
6,300;0,36;-0,29;1,39
6,350;0,34;-0,21;1,58
6,400;0,33;-0,12;1,71
6,450;0,33;-0,03;1,76
6,500;0,33;0,05;1,75
6,550;0,34;0,14;1,69
6,600;0,35;0,23;1,55
6,650;0,36;0,30;1,34
6,700;0,38;0,36;1,10
6,750;0,40;0,41;0,87
6,800;0,42;0,45;0,62
6,850;0,44;0,47;0,32
6,900;0,46;0,48;-0,02
6,950;0,49;0,47;-0,36
7,000;0,51;0,44;-0,68
7,050;0,53;0,40;-0,95
7,100;0,55;0,35;-1,19
7,150;0,57;0,28;-1,38
7,200;0,58;0,21;-1,53
7,250;0,59;0,13;-1,63
7,300;0,59;0,04;-1,69
7,350;0,59;-0,04;-1,69
7,400;0,59;-0,13;-1,64
7,450;0,58;-0,21;-1,53
7,500;0,57;-0,28;-1,38
7,550;0,55;-0,35;-1,18
7,600;0,53;-0,40;-0,94
7,650;0,51;-0,44;-0,66
7,700;0,49;-0,47;-0,36
7,750;0,46;-0,48;-0,02
7,800;0,44;-0,47;0,31
7,850;0,42;-0,45;0,62
7,900;0,40;-0,41;0,88
7,950;0,38;-0,36;1,12
8,000;0,36;-0,30;1,34
8,050;0,35;-0,22;1,54
8,100;0,34;-0,14;1,68
8,150;0,33;-0,05;1,75
8,200;0,33;0,04;1,76
8,250;0,34;0,13;1,70
8,300;0,34;0,21;1,57
8,350;0,36;0,29;1,38
8,400;0,37;0,35;1,15
8,450;0,39;0,40;0,91
8,500;0,41;0,44;0,66
8,550;0,44;0,47;0,37
8,600;0,46;0,48;0,04
8,650;0,48;0,47;-0,30
8,700;0,51;0,45;-0,61
8,750;0,53;0,41;-0,89
8,800;0,55;0,36;-1,14
8,850;0,57;0,29;-1,35
8,900;0,58;0,22;-1,51
8,950;0,59;0,14;-1,61
9,000;0,59;0,06;-1,67
9,050;0,59;-0,03;-1,68
9,100;0,59;-0,11;-1,65
9,150;0,58;-0,19;-1,56
9,200;0,57;-0,27;-1,41
9,250;0,56;-0,34;-1,22
9,300;0,54;-0,39;-0,98
9,350;0,52;-0,43;-0,71
9,400;0,49;-0,46;-0,41
9,450;0,47;-0,48;-0,09
9,500;0,44;-0,47;0,25
9,550;0,42;-0,45;0,57
9,600;0,40;-0,41;0,83
9,650;0,38;-0,37;1,07
9,700;0,36;-0,31;1,30
9,750;0,35;-0,24;1,51
9,800;0,34;-0,15;1,66
9,850;0,33;-0,07;1,73
9,900;0,33;0,02;1,74
9,950;0,33;0,11;1,72
10,000;0,34;0,19;1,63
10,050;0,35;0,28;1,43
10,100;0,37;0,34;1,15
10,150;0,39;0,39;0,88
10,200;0,41;0,43;0,68
10,250;0,43;0,46;0,45
10,300;0,46;0,48;0,14
10,350;0,48;0,47;-0,22
10,400;0,50;0,45;-0,55
10,450;0,53;0,42;-0,84
10,500;0,55;0,37;-1,09
10,550;0,56;0,30;-1,30
10,600;0,58;0,23;-1,46
10,650;0,59;0,16;
10,700;0,59;0,08;
10,750;0,59;;
