"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,43;;
0,050;0,42;-0,15;
0,100;0,42;-0,10;0,88
0,150;0,41;-0,07;0,65
0,200;0,41;-0,05;0,61
0,250;0,41;-0,01;0,69
0,300;0,41;0,03;0,74
0,350;0,41;0,06;0,70
0,400;0,41;0,10;0,65
0,450;0,42;0,13;0,58
0,500;0,43;0,16;0,48
0,550;0,44;0,18;0,37
0,600;0,44;0,19;0,24
0,650;0,45;0,20;0,11
0,700;0,47;0,20;-0,02
0,750;0,48;0,20;-0,16
0,800;0,49;0,19;-0,29
0,850;0,49;0,17;-0,41
0,900;0,50;0,15;-0,52
0,950;0,51;0,12;-0,60
1,000;0,51;0,09;-0,67
1,050;0,52;0,05;-0,71
1,100;0,52;0,01;-0,73
1,150;0,52;-0,02;-0,73
1,200;0,52;-0,06;-0,70
1,250;0,51;-0,09;-0,65
1,300;0,51;-0,13;-0,58
1,350;0,50;-0,15;-0,49
1,400;0,49;-0,18;-0,39
1,450;0,48;-0,19;-0,26
1,500;0,47;-0,20;-0,13
1,550;0,46;-0,20;0,01
1,600;0,45;-0,20;0,15
1,650;0,44;-0,19;0,27
1,700;0,43;-0,17;0,39
1,750;0,43;-0,15;0,51
1,800;0,42;-0,12;0,60
1,850;0,41;-0,09;0,67
1,900;0,41;-0,05;0,71
1,950;0,41;-0,02;0,73
2,000;0,41;0,02;0,74
2,050;0,41;0,06;0,72
2,100;0,41;0,09;0,66
2,150;0,42;0,12;0,58
2,200;0,43;0,15;0,49
2,250;0,43;0,17;0,39
2,300;0,44;0,19;0,27
2,350;0,45;0,20;0,13
2,400;0,46;0,20;-0,01
2,450;0,47;0,20;-0,15
2,500;0,48;0,19;-0,28
2,550;0,49;0,17;-0,40
2,600;0,50;0,15;-0,50
2,650;0,51;0,12;-0,59
2,700;0,51;0,09;-0,66
2,750;0,52;0,06;-0,71
2,800;0,52;0,02;-0,73
2,850;0,52;-0,02;-0,73
2,900;0,52;-0,05;-0,70
2,950;0,51;-0,09;-0,66
3,000;0,51;-0,12;-0,59
3,050;0,50;-0,15;-0,50
3,100;0,49;-0,17;-0,39
3,150;0,48;-0,19;-0,27
3,200;0,47;-0,20;-0,15
3,250;0,46;-0,20;-0,02
3,300;0,45;-0,20;0,12
3,350;0,44;-0,19;0,26
3,400;0,43;-0,18;0,39
3,450;0,43;-0,15;0,50
3,500;0,42;-0,12;0,58
3,550;0,41;-0,09;0,65
3,600;0,41;-0,06;0,71
3,650;0,41;-0,02;0,75
3,700;0,41;0,02;0,75
3,750;0,41;0,05;0,72
3,800;0,41;0,09;0,66
3,850;0,42;0,12;0,59
3,900;0,42;0,15;0,50
3,950;0,43;0,17;0,39
4,000;0,44;0,19;0,27
4,050;0,45;0,20;0,14
4,100;0,46;0,20;0,01
4,150;0,47;0,20;-0,12
4,200;0,48;0,19;-0,26
4,250;0,49;0,17;-0,38
4,300;0,50;0,15;-0,49
4,350;0,51;0,13;-0,58
4,400;0,51;0,09;-0,65
4,450;0,52;0,06;-0,70
4,500;0,52;0,02;-0,73
4,550;0,52;-0,01;-0,73
4,600;0,52;-0,05;-0,71
4,650;0,51;-0,09;-0,66
4,700;0,51;-0,12;-0,60
4,750;0,50;-0,15;-0,51
4,800;0,49;-0,17;-0,41
4,850;0,49;-0,19;-0,29
4,900;0,48;-0,20;-0,16
4,950;0,47;-0,20;-0,03
5,000;0,46;-0,20;0,11
5,050;0,45;-0,19;0,24
5,100;0,44;-0,18;0,36
5,150;0,43;-0,16;0,47
5,200;0,42;-0,13;0,56
5,250;0,41;-0,10;0,64
5,300;0,41;-0,06;0,71
5,350;0,41;-0,03;0,75
5,400;0,41;0,01;0,75
5,450;0,41;0,05;0,72
5,500;0,41;0,08;0,67
5,550;0,42;0,12;0,60
5,600;0,42;0,15;0,51
5,650;0,43;0,17;0,41
5,700;0,44;0,19;0,29
5,750;0,45;0,20;0,16
5,800;0,46;0,20;0,03
5,850;0,47;0,20;-0,10
5,900;0,48;0,19;-0,24
5,950;0,49;0,18;-0,36
6,000;0,50;0,16;-0,47
6,050;0,51;0,13;-0,56
6,100;0,51;0,10;-0,64
6,150;0,52;0,06;-0,69
6,200;0,52;0,03;-0,72
6,250;0,52;-0,01;-0,73
6,300;0,52;-0,05;-0,71
6,350;0,51;-0,08;-0,67
6,400;0,51;-0,11;-0,61
6,450;0,50;-0,14;-0,53
6,500;0,50;-0,17;-0,42
6,550;0,49;-0,18;-0,30
6,600;0,48;-0,20;-0,17
6,650;0,47;-0,20;-0,04
6,700;0,46;-0,20;0,08
6,750;0,45;-0,19;0,22
6,800;0,44;-0,18;0,35
6,850;0,43;-0,16;0,47
6,900;0,42;-0,13;0,56
6,950;0,41;-0,10;0,63
7,000;0,41;-0,07;0,70
7,050;0,41;-0,03;0,75
7,100;0,41;0,01;0,76
7,150;0,41;0,05;0,73
7,200;0,41;0,08;0,67
7,250;0,42;0,11;0,60
7,300;0,42;0,14;0,52
7,350;0,43;0,17;0,42
7,400;0,44;0,18;0,31
7,450;0,45;0,20;0,18
7,500;0,46;0,20;0,05
