"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,45;;
0,050;0,45;-4,92E-4;
0,100;0,45;0,01;0,27
0,150;0,45;0,03;0,21
0,200;0,45;0,03;0,17
0,250;0,45;0,04;0,14
0,300;0,45;0,05;0,11
0,350;0,46;0,05;0,08
0,400;0,46;0,06;0,04
0,450;0,46;0,06;0,00
0,500;0,47;0,06;-0,04
0,550;0,47;0,05;-0,07
0,600;0,47;0,05;-0,11
0,650;0,47;0,04;-0,14
0,700;0,48;0,04;-0,17
0,750;0,48;0,03;-0,19
0,800;0,48;0,02;-0,20
0,850;0,48;0,01;-0,21
0,900;0,48;0,00;-0,20
0,950;0,48;-0,02;-0,20
1,000;0,48;-0,02;-0,18
1,050;0,48;-0,03;-0,16
1,100;0,47;-0,04;-0,14
1,150;0,47;-0,05;-0,12
1,200;0,47;-0,05;-0,09
1,250;0,47;-0,06;-0,04
1,300;0,46;-0,06;0,00
1,350;0,46;-0,06;0,04
1,400;0,46;-0,05;0,07
1,450;0,45;-0,05;0,10
1,500;0,45;-0,04;0,13
1,550;0,45;-0,04;0,16
1,600;0,45;-0,03;0,18
1,650;0,45;-0,02;0,21
1,700;0,45;-0,01;0,22
1,750;0,45;0,00;0,22
1,800;0,45;0,02;0,21
1,850;0,45;0,03;0,18
1,900;0,45;0,03;0,16
1,950;0,45;0,04;0,14
2,000;0,45;0,05;0,11
2,050;0,46;0,05;0,08
2,100;0,46;0,06;0,05
2,150;0,46;0,06;0,01
2,200;0,47;0,06;-0,03
2,250;0,47;0,05;-0,08
2,300;0,47;0,05;-0,11
2,350;0,47;0,04;-0,14
2,400;0,47;0,04;-0,16
2,450;0,48;0,03;-0,18
2,500;0,48;0,02;-0,20
2,550;0,48;0,01;-0,21
2,600;0,48;0,00;-0,21
2,650;0,48;-0,01;-0,20
2,700;0,48;-0,02;-0,19
2,750;0,48;-0,03;-0,17
2,800;0,47;-0,04;-0,14
2,850;0,47;-0,05;-0,12
2,900;0,47;-0,05;-0,08
2,950;0,47;-0,06;-0,05
3,000;0,46;-0,06;-0,01
3,050;0,46;-0,06;0,03
3,100;0,46;-0,05;0,07
3,150;0,45;-0,05;0,10
3,200;0,45;-0,04;0,13
3,250;0,45;-0,04;0,16
3,300;0,45;-0,03;0,18
3,350;0,45;-0,02;0,20
3,400;0,45;-0,01;0,22
3,450;0,45;0,00;0,22
3,500;0,45;0,02;0,21
3,550;0,45;0,02;0,18
3,600;0,45;0,03;0,16
3,650;0,45;0,04;0,14
3,700;0,45;0,05;0,11
3,750;0,46;0,05;0,08
3,800;0,46;0,06;0,04
3,850;0,46;0,06;0,01
3,900;0,46;0,06;-0,03
3,950;0,47;0,05;-0,07
4,000;0,47;0,05;-0,10
4,050;0,47;0,04;-0,13
4,100;0,47;0,04;-0,16
4,150;0,48;0,03;-0,18
4,200;0,48;0,02;-0,20
4,250;0,48;0,01;-0,20
4,300;0,48;0,00;-0,20
4,350;0,48;-0,01;-0,20
4,400;0,48;-0,02;-0,19
4,450;0,48;-0,03;-0,17
4,500;0,47;-0,04;-0,15
4,550;0,47;-0,05;-0,12
4,600;0,47;-0,05;-0,08
4,650;0,47;-0,06;-0,05
4,700;0,46;-0,06;-0,01
4,750;0,46;-0,06;0,02
4,800;0,46;-0,05;0,07
4,850;0,46;-0,05;0,10
4,900;0,45;-0,04;0,14
4,950;0,45;-0,04;0,16
5,000;0,45;-0,03;0,17
5,050;0,45;-0,02;0,19
5,100;0,45;-0,01;0,21
5,150;0,45;0,00;0,22
5,200;0,45;0,01;0,21
5,250;0,45;0,02;0,19
5,300;0,45;0,03;0,16
5,350;0,45;0,04;0,14
5,400;0,45;0,05;0,12
5,450;0,46;0,05;0,09
5,500;0,46;0,06;0,06
5,550;0,46;0,06;0,02
5,600;0,46;0,06;-0,03
5,650;0,47;0,05;-0,07
5,700;0,47;0,05;-0,10
5,750;0,47;0,04;-0,13
5,800;0,47;0,04;-0,15
5,850;0,48;0,03;-0,18
5,900;0,48;0,02;-0,20
5,950;0,48;0,01;-0,21
6,000;0,48;0,00;-0,21
6,050;0,48;-0,01;-0,21
6,100;0,48;-0,02;-0,19
6,150;0,48;-0,03;-0,17
6,200;0,47;-0,04;-0,15
6,250;0,47;-0,05;-0,12
6,300;0,47;-0,05;-0,09
6,350;0,47;-0,06;-0,05
6,400;0,46;-0,06;-0,01
6,450;0,46;-0,06;0,03
6,500;0,46;-0,05;0,06
6,550;0,46;-0,05;0,09
6,600;0,45;-0,05;0,13
