"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
9,200;0,49;-0,40;-0,36
9,250;0,47;-0,41;-0,06
9,300;0,45;-0,41;0,29
9,350;0,43;-0,38;0,60
9,400;0,41;-0,34;0,79
9,450;0,39;-0,30;0,89
9,500;0,38;-0,25;0,99
9,550;0,37;-0,20;1,12
9,600;0,36;-0,14;1,28
9,650;0,35;-0,07;1,43
9,700;0,35;0,00;1,56
9,750;0,35;0,09;1,58
9,800;0,36;0,17;1,43
9,850;0,37;0,24;1,16
9,900;0,39;0,28;0,93
9,950;0,40;0,32;0,80
10,000;0,42;0,36;0,65
10,050;0,44;0,40;0,41
10,100;0,46;0,41;0,10
10,150;0,48;0,40;-0,20
10,200;0,50;0,39;-0,47
10,250;0,52;0,36;-0,72
10,300;0,53;0,31;-0,94
10,350;0,55;0,26;-1,12
10,400;0,56;0,20;-1,26
10,450;0,57;0,13;-1,36
10,500;0,57;0,06;-1,42
10,550;0,58;-0,01;-1,44
10,600;0,57;-0,08;-1,42
10,650;0,57;-0,15;-1,35
10,700;0,56;-0,22;-1,24
10,750;0,54;-0,28;
10,800;0,53;-0,33;
10,850;0,51;;
