"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2474;;
0,025;0,2502;0,10;
0,050;0,2525;0,08;-1,03
0,075;0,2540;0,05;-1,07
0,100;0,2549;0,02;-1,10
0,125;0,2551;-0,01;-1,12
0,150;0,2546;-0,03;-1,12
0,175;0,2534;-0,06;-1,04
0,200;0,2514;-0,09;-0,86
0,225;0,2488;-0,11;-0,64
0,250;0,2459;-0,12;-0,41
0,275;0,2428;-0,13;-0,17
0,300;0,2393;-0,13;0,11
0,325;0,2361;-0,12;0,38
0,350;0,2331;-0,11;0,62
0,375;0,2305;-0,09;0,81
0,400;0,2285;-0,07;0,97
0,425;0,2271;-0,04;1,08
0,450;0,2264;-0,01;1,15
0,475;0,2263;0,02;1,15
0,500;0,2272;0,05;1,08
0,525;0,2287;0,07;0,95
0,550;0,2308;0,09;0,78
0,575;0,2335;0,11;0,57
0,600;0,2364;0,12;0,35
0,625;0,2397;0,13;0,11
0,650;0,2429;0,13;-0,16
0,675;0,2462;0,12;-0,44
0,700;0,2492;0,11;-0,68
0,725;0,2516;0,09;-0,87
0,750;0,2535;0,06;-1,02
0,775;0,2547;0,03;-1,12
0,800;0,2553;0,00;-1,16
0,825;0,2549;-0,03;-1,13
0,850;0,2539;-0,05;-1,03
0,875;0,2522;-0,08;-0,90
0,900;0,2500;-0,10;-0,75
0,925;0,2473;-0,12;-0,55
0,950;0,2442;-0,13;-0,29
0,975;0,2407;-0,13;0,01
1,000;0,2374;-0,13;0,29
1,025;0,2343;-0,12;0,53
1,050;0,2316;-0,10;0,72
1,075;0,2293;-0,08;0,88
1,100;0,2276;-0,05;1,02
1,125;0,2265;-0,03;1,12
1,150;0,2262;0,00;1,16
1,175;0,2267;0,03;1,13
1,200;0,2278;0,06;1,03
1,225;0,2297;0,08;0,88
1,250;0,2321;0,11;0,69
1,275;0,2350;0,12;0,46
1,300;0,2383;0,13;0,19
1,325;0,2416;0,13;-0,08
1,350;0,2448;0,12;-0,34
1,375;0,2479;0,11;-0,58
1,400;0,2505;0,09;-0,80
1,425;0,2528;0,07;-0,97
1,450;0,2542;0,05;-1,08
1,475;0,2551;0,02;-1,13
1,500;0,2551;-0,01;-1,13
1,525;0,2544;-0,04;-1,08
1,550;0,2531;-0,07;-0,98
1,575;0,2510;-0,09;-0,82
1,600;0,2485;-0,11;-0,62
1,625;0,2455;-0,12;-0,39
1,650;0,2423;-0,13;-0,13
1,675;0,2390;-0,13;0,15
1,700;0,2357;-0,12;0,41
1,725;0,2328;-0,11;0,63
1,750;0,2304;-0,09;0,82
1,775;0,2283;-0,07;0,99
1,800;0,2269;-0,04;1,11
1,825;0,2263;-0,01;1,15
1,850;0,2265;0,02;1,13
1,875;0,2273;0,05;1,06
1,900;0,2289;0,07;0,94
1,925;0,2311;0,10;0,76
1,950;0,2338;0,11;0,56
1,975;0,2368;0,12;0,33
2,000;0,2400;0,13;0,06
2,025;0,2435;0,13;-0,22
2,050;0,2466;0,12;-0,47
2,075;0,2493;0,10;-0,69
2,100;0,2518;0,08;-0,88
2,125;0,2537;0,06;-1,04
2,150;0,2547;0,03;-1,12
2,175;0,2551;8,47E-4;-1,14
2,200;0,2548;-0,03;-1,11
2,225;0,2538;-0,06;-1,04
2,250;0,2519;-0,08;-0,90
2,275;0,2497;-0,10;-0,71
2,300;0,2467;-0,12;-0,47
2,325;0,2436;-0,13;-0,21
2,350;0,2404;-0,13;0,05
2,375;0,2371;-0,12;0,29
2,400;0,2342;-0,11;0,51
2,425;0,2314;-0,10;0,72
2,450;0,2291;-0,08;0,91
2,475;0,2276;-0,05;1,05
2,500;0,2265;-0,02;1,15
2,525;0,2263;0,01;1,16
2,550;0,2270;0,04;1,10
2,575;0,2282;0,06;0,99
2,600;0,2302;0,09;0,84
2,625;0,2326;0,11;0,66
2,650;0,2356;0,12;0,43
2,675;0,2388;0,13;0,16
2,700;0,2421;0,13;-0,11
2,725;0,2454;0,12;-0,38
2,750;0,2483;0,11;-0,61
2,775;0,2509;0,09;-0,81
2,800;0,2530;0,07;-0,98
2,825;0,2544;0,04;-1,09
2,850;0,2551;0,01;-1,13
2,875;0,2549;-0,02;-1,12
2,900;0,2543;-0,04;-1,07
2,925;0,2527;-0,07;-0,96
2,950;0,2507;-0,09;-0,79
2,975;0,2479;-0,11;-0,57
3,000;0,2450;-0,12;-0,33
3,025;0,2418;-0,13;-0,08
3,050;0,2385;-0,13;0,18
3,075;0,2354;-0,12;0,42
3,100;0,2324;-0,10;0,65
3,125;0,2300;-0,09;0,85
3,150;0,2281;-0,06;1,01
3,175;0,2269;-0,03;1,12
3,200;0,2263;0,00;1,15
3,225;0,2267;0,02;1,12
3,250;0,2277;0,05;1,04
3,275;0,2292;0,08;0,92
3,300;0,2316;0,10;0,74
3,325;0,2344;0,12;0,51
3,350;0,2374;0,12;0,26
3,375;0,2407;0,13;-2,75E-4
3,400;0,2440;0,13;-0,26
3,425;0,2471;0,12;-0,51
3,450;0,2499;0,10;-0,72
3,475;0,2521;0,08;-0,91
3,500;0,2538;0,05;-1,04
3,525;0,2549;0,02;-1,12
3,550;0,2551;0,00;-1,12
3,575;0,2546;-0,03;-1,10
3,600;0,2536;-0,06;-1,03
3,625;0,2517;-0,08;-0,89
3,650;0,2491;-0,11;-0,69
3,675;0,2464;-0,12;-0,44
3,700;0,2431;-0,13;-0,18
3,725;0,2399;-0,13;0,09
3,750;0,2366;-0,12;0,34
3,775;0,2336;-0,11;0,55
3,800;0,2311;-0,09;0,75
3,825;0,2288;-0,07;0,94
3,850;0,2272;-0,05;1,08
3,875;0,2265;-0,02;1,15
3,900;0,2263;0,01;1,15
3,925;0,2270;0,04;1,09
3,950;0,2285;0,07;0,97
3,975;0,2304;0,09;0,82
4,000;0,2330;0,11;0,61
4,025;0,2361;0,12;0,37
4,050;0,2392;0,13;0,12
4,075;0,2424;0,13;-0,14
4,100;0,2457;0,12;-0,40
4,125;0,2486;0,11;-0,64
4,150;0,2511;0,09;-0,83
4,175;0,2531;0,06;-0,98
4,200;0,2544;0,04;-1,08
4,225;0,2551;0,01;-1,13
4,250;0,2549;-0,02;-1,13
4,275;0,2541;-0,05;-1,07
4,300;0,2526;-0,07;-0,95
4,325;0,2503;-0,10;-0,76
4,350;0,2476;-0,11;-0,53
4,375;0,2447;-0,12;-0,31
4,400;0,2414;-0,13;-0,07
4,425;0,2381;-0,13;0,18
4,450;0,2350;-0,12;0,45
4,475;0,2321;-0,10;0,71
4,500;0,2297;-0,08;0,92
4,525;0,2279;-0,06;1,05
4,550;0,2269;-0,03;1,09
4,575;0,2265;-7,28E-4;1,10
4,600;0,2268;0,03;1,09
4,625;0,2279;0,05;1,03
4,650;0,2296;0,08;0,90
4,675;0,2320;0,10;0,71
4,700;0,2347;0,12;0,49
4,725;0,2378;0,12;0,24
4,750;0,2411;0,13;-0,02
4,775;0,2443;0,12;-0,30
4,800;0,2474;0,11;-0,55
4,825;0,2500;0,10;-0,76
4,850;0,2523;0,07;-0,92
4,875;0,2538;0,05;-1,04
4,900;0,2547;0,02;-1,11
4,925;0,2549;-0,01;-1,13
4,950;0,2544;-0,04;-1,08
4,975;0,2531;-0,06;-0,98
5,000;0,2512;-0,09;-0,85
5,025;0,2488;-0,11;-0,66
5,050;0,2459;-0,12;-0,42
5,075;0,2426;-0,13;-0,14
5,100;0,2393;-0,13;0,13
5,125;0,2362;-0,12;0,36
5,150;0,2333;-0,11;0,58
5,175;0,2307;-0,09;0,79
5,200;0,2286;-0,07;0,98
5,225;0,2272;-0,04;1,09
5,250;0,2265;-0,01;1,13
5,275;0,2267;0,02;1,11
5,300;0,2273;0,04;1,05
5,325;0,2289;0,07;0,94
5,350;0,2309;0,09;0,78
5,375;0,2335;0,11;0,58
5,400;0,2366;0,12;0,34
5,425;0,2397;0,13;0,09
5,450;0,2429;0,13;-0,18
5,475;0,2462;0,12;-0,44
5,500;0,2490;0,10;-0,67
5,525;0,2514;0,08;-0,86
5,550;0,2533;0,06;-1,01
5,575;0,2545;0,03;-1,10
5,600;0,2549;0,00;-1,13
5,625;0,2548;-0,02;-1,11
5,650;0,2538;-0,05;-1,04
5,675;0,2520;-0,08;-0,90
5,700;0,2498;-0,10;-0,71
5,725;0,2471;-0,11;-0,49
5,750;0,2440;-0,12;-0,26
5,775;0,2409;-0,13;-0,02
5,800;0,2376;-0,12;0,23
5,825;0,2345;-0,12;0,48
5,850;0,2317;-0,10;0,71
5,875;0,2295;-0,08;0,91
5,900;0,2278;-0,05;1,05
5,925;0,2267;-0,02;1,12
5,950;0,2265;0,00;1,12
5,975;0,2270;0,03;1,08
6,000;0,2280;0,06;1,01
6,025;0,2299;0,08;0,88
6,050;0,2323;0,10;0,69
6,075;0,2352;0,12;0,44
6,100;0,2383;0,13;0,18
6,125;0,2416;0,13;-0,08
6,150;0,2448;0,12;-0,33
6,175;0,2478;0,11;-0,56
6,200;0,2504;0,09;-0,77
6,225;0,2526;0,07;-0,94
6,250;0,2540;0,05;-1,07
6,275;0,2549;0,02;-1,13
6,300;0,2549;-0,01;-1,13
