"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2151;;
0,025;0,2175;0,11;
0,050;0,2204;0,12;0,65
0,075;0,2238;0,14;0,43
0,100;0,2275;0,15;0,18
0,125;0,2312;0,15;-0,11
0,150;0,2350;0,14;-0,41
0,175;0,2385;0,13;-0,66
0,200;0,2414;0,11;-0,87
0,225;0,2438;0,08;-1,04
0,250;0,2458;0,05;-1,16
0,275;0,2466;0,02;-1,22
0,300;0,2468;-0,01;-1,24
0,325;0,2463;-0,04;-1,22
0,350;0,2450;-0,07;-1,14
0,375;0,2428;-0,10;-0,98
0,400;0,2400;-0,12;-0,76
0,425;0,2368;-0,14;-0,52
0,450;0,2332;-0,15;-0,25
0,475;0,2294;-0,15;0,03
0,500;0,2256;-0,14;0,31
0,525;0,2221;-0,13;0,56
0,550;0,2188;-0,12;0,79
0,575;0,2163;-0,09;0,98
0,600;0,2142;-0,06;1,13
0,625;0,2129;-0,04;1,22
0,650;0,2124;0,00;1,26
0,675;0,2127;0,03;1,24
0,700;0,2139;0,06;1,15
0,725;0,2158;0,09;1,01
0,750;0,2184;0,11;0,82
0,775;0,2214;0,13;0,59
0,800;0,2249;0,14;0,34
0,825;0,2287;0,15;0,08
0,850;0,2323;0,14;-0,18
0,875;0,2359;0,14;-0,43
0,900;0,2393;0,12;-0,68
0,925;0,2421;0,10;-0,91
0,950;0,2445;0,08;-1,10
0,975;0,2461;0,05;-1,21
1,000;0,2468;0,01;-1,27
1,025;0,2468;-0,02;-1,27
1,050;0,2460;-0,05;-1,20
1,075;0,2443;-0,08;-1,07
1,100;0,2419;-0,10;-0,88
1,125;0,2390;-0,12;-0,66
1,150;0,2357;-0,14;-0,44
1,175;0,2320;-0,15;-0,18
1,200;0,2283;-0,15;0,08
1,225;0,2245;-0,14;0,37
1,250;0,2211;-0,13;0,64
1,275;0,2180;-0,11;0,88
1,300;0,2156;-0,08;1,03
1,325;0,2138;-0,06;1,13
1,350;0,2128;-0,03;1,21
1,375;0,2124;0,00;1,27
1,400;0,2129;0,04;1,25
1,425;0,2144;0,07;1,13
1,450;0,2165;0,10;0,94
1,475;0,2192;0,12;0,74
1,500;0,2225;0,13;0,52
1,525;0,2259;0,14;0,27
1,550;0,2297;0,15;2,40E-5
1,575;0,2335;0,14;-0,28
1,600;0,2369;0,13;-0,54
1,625;0,2402;0,12;-0,77
1,650;0,2428;0,09;-0,95
1,675;0,2449;0,07;-1,10
1,700;0,2463;0,04;-1,21
1,725;0,2468;0,01;-1,26
1,750;0,2465;-0,03;-1,25
1,775;0,2455;-0,06;-1,17
1,800;0,2436;-0,09;-1,03
1,825;0,2411;-0,11;-0,83
1,850;0,2380;-0,13;-0,59
1,875;0,2345;-0,14;-0,34
