"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
4,375;0,2753;-0,10;1,45
4,400;0,2730;-0,06;1,74
4,425;0,2721;-0,01;1,87
4,450;0,2724;0,04;1,81
4,475;0,2741;0,08;1,59
4,500;0,2766;0,12;1,27
4,525;0,2801;0,15;0,85
4,550;0,2842;0,16;0,34
4,575;0,2885;0,16;-0,22
4,600;0,2926;0,15;-0,76
4,625;0,2963;0,13;-1,23
4,650;0,2990;0,09;-1,58
4,675;0,3008;0,04;-1,78
4,700;0,3012;0,00;-1,82
4,725;0,3006;-0,05;-1,74
4,750;0,2987;-0,09;-1,52
4,775;0,2958;-0,13;-1,16
4,800;0,2920;-0,15;-0,69
4,825;0,2879;-0,16;-0,16
4,850;0,2836;-0,16;0,39
4,875;0,2796;-0,14;0,90
4,900;0,2761;-0,11;1,34
4,925;0,2737;-0,07;1,66
4,950;0,2723;-0,03;1,83
4,975;0,2722;0,02;1,83
5,000;0,2732;0,07;1,68
5,025;0,2756;0,11;1,40
5,050;0,2787;0,14;1,00
5,075;0,2826;0,16;0,52
5,100;0,2868;0,16;-0,01
5,125;0,2911;0,16;-0,56
5,150;0,2949;0,14;-1,05
5,175;0,2980;0,10;-1,44
5,200;0,3001;0,06;-1,72
5,225;0,3012;0,01;-1,84
5,250;0,3009;-0,03;-1,81
5,275;0,2994;-0,08;-1,62
5,300;0,2968;-0,12;-1,29
5,325;0,2934;-0,15;-0,84
5,350;0,2893;-0,16;-0,33
5,375;0,2851;-0,16;0,20
5,400;0,2810;-0,15;0,73
5,425;0,2774;-0,13;1,19
5,450;0,2746;-0,09;1,55
5,475;0,2728;-0,05;1,76
5,500;0,2723;0,00;1,84
5,525;0,2729;0,05;1,77
5,550;0,2748;0,09;1,53
5,575;0,2777;0,13;1,15
5,600;0,2814;0,15;0,66
5,625;0,2856;0,16;0,14
5,650;0,2897;0,16;-0,37
5,675;0,2937;0,14;-0,87
5,700;0,2971;0,11;-1,32
5,725;0,2996;0,07;-1,64
5,750;0,3010;0,03;-1,81
5,775;0,3010;-0,02;-1,82
5,800;0,3000;-0,06;-1,68
5,825;0,2978;-0,10;-1,41
5,850;0,2946;-0,14;-1,01
5,875;0,2908;-0,16;-0,52
5,900;0,2865;-0,16;0,02
5,925;0,2824;-0,16;0,54
5,950;0,2786;-0,14;1,02
5,975;0,2754;-0,10;1,42
6,000;0,2732;-0,06;1,71
6,025;0,2723;-0,02;1,84
6,050;0,2724;0,03;1,81
6,075;0,2739;0,08;1,62
6,100;0,2765;0,12;1,29
6,125;0,2799;0,14;0,86
6,150;0,2838;0,16;0,36
6,175;0,2881;0,16;-0,18
6,200;0,2923;0,15;-0,71
6,225;0,2959;0,13;-1,17
6,250;0,2987;0,09;-1,54
6,275;0,3006;0,05;-1,77
6,300;0,3012;-6,57E-4;-1,85
6,325;0,3006;-0,05;-1,76
6,350;0,2987;-0,09;-1,53
6,375;0,2960;-0,13;-1,16
6,400;0,2922;-0,15;-0,69
6,425;0,2881;-0,16;-0,16
6,450;0,2839;-0,16;0,37
6,475;0,2800;-0,14;0,87
6,500;0,2765;-0,11;1,30
6,525;0,2740;-0,08;1,62
6,550;0,2726;-0,03;1,79
6,575;0,2724;0,02;1,81
6,600;0,2734;0,06;1,67
6,625;0,2756;0,10;1,40
6,650;0,2787;0,13;1,02
6,675;0,2825;0,15;0,56
6,700;0,2866;0,16;0,03
6,725;0,2909;0,16;-0,53
6,750;0,2947;0,14;-1,03
6,775;0,2978;0,10;-1,42
6,800;0,2999;0,06;-1,68
6,825;0,3010;0,02;-1,83
6,850;0,3009;-0,03;-1,82
6,875;0,2994;-0,08;-1,63
6,900;0,2968;-0,12;-1,28
6,925;0,2934;-0,14;-0,87
6,950;0,2894;-0,16;
6,975;0,2853;-0,17;
7,000;0,2812;;
