"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2667;;
0,025;0,2639;-0,09;
0,050;0,2621;-0,05;1,61
0,075;0,2614;-0,01;1,60
0,100;0,2616;0,03;1,56
0,125;0,2629;0,07;1,42
0,150;0,2651;0,10;1,16
0,175;0,2682;0,13;0,80
0,200;0,2718;0,14;0,39
0,225;0,2756;0,15;-0,02
0,250;0,2794;0,14;-0,41
0,275;0,2828;0,13;-0,79
0,300;0,2860;0,10;-1,15
0,325;0,2882;0,07;-1,43
0,350;0,2895;0,03;-1,57
0,375;0,2897;-0,01;-1,57
0,400;0,2889;-0,05;-1,45
0,425;0,2870;-0,09;-1,26
0,450;0,2844;-0,12;-0,99
0,475;0,2812;-0,14;-0,64
0,500;0,2774;-0,15;-0,22
0,525;0,2734;-0,15;0,22
0,550;0,2698;-0,14;0,64
0,575;0,2665;-0,12;1,00
0,600;0,2637;-0,09;1,29
0,625;0,2622;-0,05;1,49
0,650;0,2613;-0,01;1,58
0,675;0,2616;0,03;1,55
0,700;0,2629;0,07;1,41
0,725;0,2651;0,10;1,15
0,750;0,2682;0,13;0,79
0,775;0,2718;0,14;0,39
0,800;0,2756;0,15;-0,03
0,825;0,2794;0,14;-0,42
0,850;0,2828;0,13;-0,80
0,875;0,2860;0,10;-1,14
0,900;0,2881;0,07;-1,40
0,925;0,2895;0,03;-1,56
0,950;0,2897;-0,01;-1,59
0,975;0,2889;-0,05;-1,48
1,000;0,2870;-0,09;-1,27
1,025;0,2844;-0,12;-0,98
1,050;0,2810;-0,14;-0,61
1,075;0,2774;-0,15;-0,20
1,100;0,2734;-0,15;0,23
1,125;0,2698;-0,14;0,64
1,150;0,2665;-0,11;0,99
1,175;0,2639;-0,08;1,27
1,200;0,2621;-0,05;1,46
1,225;0,2614;-0,01;1,55
1,250;0,2616;0,03;1,55
1,275;0,2629;0,07;1,42
1,300;0,2651;0,10;1,16
1,325;0,2682;0,13;0,80
1,350;0,2718;0,14;0,38
1,375;0,2756;0,15;-0,04
1,400;0,2794;0,14;-0,44
1,425;0,2828;0,13;-0,81
1,450;0,2858;0,10;-1,14
1,475;0,2881;0,07;-1,40
1,500;0,2893;0,03;-1,55
1,525;0,2895;-0,01;-1,56
1,550;0,2887;-0,05;-1,45
1,575;0,2868;-0,09;-1,25
1,600;0,2843;-0,12;-0,98
1,625;0,2810;-0,14;-0,63
1,650;0,2772;-0,15;-0,22
1,675;0,2734;-0,15;0,23
1,700;0,2696;-0,14;0,67
1,725;0,2663;-0,11;1,03
1,750;0,2639;-0,08;1,28
1,775;0,2621;-0,05;1,46
1,800;0,2614;-0,01;1,55
1,825;0,2616;0,03;1,53
1,850;0,2631;0,07;1,38
1,875;0,2653;0,10;1,12
1,900;0,2682;0,13;0,79
1,925;0,2718;0,14;0,41
1,950;0,2756;0,15;0,00
1,975;0,2794;0,14;-0,42
2,000;0,2828;0,13;-0,82
2,025;0,2860;0,10;-1,17
2,050;0,2881;0,07;-1,42
2,075;0,2893;0,03;-1,54
2,100;0,2895;-0,01;-1,55
2,125;0,2887;-0,05;-1,44
2,150;0,2868;-0,09;-1,25
2,175;0,2843;-0,12;-0,98
2,200;0,2810;-0,14;-0,63
2,225;0,2772;-0,15;-0,21
2,250;0,2734;-0,15;0,24
2,275;0,2696;-0,13;0,65
2,300;0,2665;-0,11;1,00
2,325;0,2639;-0,08;1,28
2,350;0,2621;-0,05;1,47
2,375;0,2614;-0,01;1,55
2,400;0,2617;0,03;1,51
2,425;0,2631;0,07;1,36
2,450;0,2653;0,10;1,13
2,475;0,2682;0,13;0,81
2,500;0,2718;0,14;0,41
2,525;0,2756;0,15;-0,02
2,550;0,2794;0,14;-0,43
2,575;0,2828;0,13;-0,81
2,600;0,2858;0,10;-1,14
2,625;0,2881;0,07;-1,40
2,650;0,2893;0,03;-1,55
