"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,1864;;
0,025;0,1878;0,08;
0,050;0,1905;0,11;1,04
0,075;0,1936;0,13;0,78
0,100;0,1972;0,15;0,54
0,125;0,2011;0,16;0,30
0,150;0,2053;0,17;0,05
0,175;0,2096;0,16;-0,22
0,200;0,2135;0,15;-0,47
0,225;0,2173;0,14;-0,70
0,250;0,2206;0,12;-0,92
0,275;0,2234;0,09;-1,09
0,300;0,2253;0,06;-1,20
0,325;0,2265;0,03;-1,26
0,350;0,2269;-2,74E-4;-1,29
0,375;0,2266;-0,03;-1,28
0,400;0,2252;-0,07;-1,20
0,425;0,2232;-0,09;-1,05
0,450;0,2204;-0,12;-0,87
0,475;0,2172;-0,14;-0,67
0,500;0,2134;-0,15;-0,46
0,525;0,2094;-0,16;-0,24
0,550;0,2053;-0,17;0,03
0,575;0,2010;-0,16;0,32
0,600;0,1970;-0,15;0,57
0,625;0,1936;-0,13;0,77
0,650;0,1905;-0,11;0,93
0,675;0,1879;-0,08;1,09
0,700;0,1863;-0,06;1,25
0,725;0,1851;-0,02;1,37
0,750;0,1849;0,02;1,36
0,775;0,1861;0,05;1,24
0,800;0,1876;0,08;1,10
0,825;0,1898;0,10;0,97
0,850;0,1927;0,13;0,82
0,875;0,1963;0,15;0,62
0,900;0,2001;0,16;0,39
0,925;0,2042;0,17;0,13
0,950;0,2085;0,17;-0,15
0,975;0,2127;0,16;-0,43
1,000;0,2165;0,14;-0,67
1,025;0,2199;0,12;-0,87
1,050;0,2227;0,10;-1,04
1,075;0,2249;0,07;-1,17
1,100;0,2263;0,04;-1,26
1,125;0,2269;0,01;-1,28
1,150;0,2267;-0,03;-1,26
1,175;0,2255;-0,06;-1,20
1,200;0,2238;-0,09;-1,11
1,225;0,2213;-0,11;-0,96
1,250;0,2180;-0,13;-0,79
1,275;0,2144;-0,15;-0,57
1,300;0,2105;-0,17;-0,27
1,325;0,2060;-0,17;0,07
1,350;0,2017;-0,16;0,33
1,375;0,1981;-0,15;0,49
1,400;0,1944;-0,14;0,66
1,425;0,1912;-0,12;0,88
1,450;0,1882;-0,09;1,10
1,475;0,1866;-0,06;1,23
1,500;0,1854;-0,03;1,31
1,525;0,1849;0,00;1,32
1,550;0,1857;0,04;1,23
1,575;0,1871;0,07;1,09
1,600;0,1893;0,09;0,98
1,625;0,1917;0,12;0,93
1,650;0,1950;0,14;0,80
1,675;0,1989;0,16;0,52
1,700;0,2032;0,17;0,16
1,725;0,2075;0,17;-0,16
1,750;0,2116;0,16;-0,40
1,775;0,2154;0,15;-0,60
1,800;0,2191;0,13;-0,80
1,825;0,2220;0,11;-1,00
1,850;0,2244;0,08;-1,16
