"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2293;;
0,025;0,2273;-0,09;
0,050;0,2249;-0,10;-0,42
0,075;0,2221;-0,11;-0,29
0,100;0,2194;-0,12;-0,13
0,125;0,2163;-0,12;0,06
0,150;0,2133;-0,11;0,24
0,175;0,2106;-0,10;0,42
0,200;0,2082;-0,09;0,61
0,225;0,2057;-0,07;0,78
0,250;0,2044;-0,05;0,89
0,275;0,2033;-0,03;0,96
0,300;0,2028;0,00;0,97
0,325;0,2031;0,02;0,93
0,350;0,2040;0,04;0,86
0,375;0,2053;0,06;0,76
0,400;0,2072;0,08;0,65
0,425;0,2094;0,10;0,52
0,450;0,2122;0,11;0,36
0,475;0,2149;0,12;0,16
0,500;0,2180;0,12;-0,06
0,525;0,2209;0,11;-0,27
0,550;0,2237;0,10;-0,44
0,575;0,2261;0,09;-0,58
0,600;0,2282;0,07;-0,71
0,625;0,2299;0,05;-0,84
0,650;0,2310;0,03;-0,94
0,675;0,2315;0,01;-0,99
0,700;0,2314;-0,02;-0,97
0,725;0,2305;-0,04;-0,89
0,750;0,2292;-0,06;-0,78
0,775;0,2273;-0,08;-0,65
0,800;0,2250;-0,10;-0,51
0,825;0,2223;-0,11;-0,35
0,850;0,2195;-0,11;-0,17
0,875;0,2166;-0,12;0,02
0,900;0,2135;-0,11;0,22
0,925;0,2108;-0,11;0,43
0,950;0,2084;-0,09;0,62
0,975;0,2059;-0,07;0,78
1,000;0,2045;-0,05;0,86
1,025;0,2035;-0,03;0,90
1,050;0,2030;-0,01;0,92
1,075;0,2031;0,02;0,93
1,100;0,2038;0,04;0,90
1,125;0,2052;0,06;0,81
1,150;0,2070;0,08;0,68
1,175;0,2093;0,10;0,52
1,200;0,2120;0,11;0,35
1,225;0,2148;0,11;0,17
1,250;0,2177;0,12;-0,03
1,275;0,2208;0,11;-0,25
1,300;0,2235;0,10;-0,45
1,325;0,2260;0,09;-0,59
1,350;0,2280;0,07;-0,72
1,375;0,2298;0,05;-0,83
1,400;0,2308;0,03;-0,92
1,425;0,2313;0,01;-0,95
1,450;0,2312;-0,02;-0,93
1,475;0,2305;-0,04;-0,89
1,500;0,2291;-0,06;-0,81
1,525;0,2274;-0,08;-0,68
1,550;0,2250;-0,10;-0,53
1,575;0,2225;-0,11;-0,36
1,600;0,2197;-0,11;-0,17
1,625;0,2166;-0,12;0,03
1,650;0,2137;-0,11;0,23
1,675;0,2109;-0,10;0,42
1,700;0,2085;-0,09;0,61
1,725;0,2061;-0,07;0,76
1,750;0,2047;-0,05;0,84
1,775;0,2037;-0,03;0,87
1,800;0,2031;-0,01;0,91
1,825;0,2031;0,01;0,95
1,850;0,2038;0,04;0,93
1,875;0,2052;0,06;0,81
1,900;0,2070;0,08;0,66
1,925;0,2093;0,09;0,52
1,950;0,2118;0,11;0,37
1,975;0,2146;0,11;0,19
2,000;0,2177;0,12;-0,03
2,025;0,2206;0,11;-0,25
2,050;0,2234;0,10;-0,42
2,075;0,2258;0,09;-0,57
2,100;0,2280;0,08;-0,71
2,125;0,2296;0,06;-0,83
2,150;0,2308;0,03;-0,92
2,175;0,2313;0,01;-0,96
2,200;0,2312;-0,02;-0,94
2,225;0,2305;-0,04;-0,87
2,250;0,2291;-0,06;-0,78
2,275;0,2274;-0,08;-0,68
2,300;0,2252;-0,09;-0,56
2,325;0,2226;-0,11;-0,38
2,350;0,2197;-0,11;-0,17
2,375;0,2168;-0,12;0,05
2,400;0,2139;-0,11;0,24
2,425;0,2111;-0,10;0,41
2,450;0,2087;-0,09;0,56
2,475;0,2064;-0,08;0,70
2,500;0,2049;-0,06;0,81
2,525;0,2037;-0,03;0,89
2,550;0,2031;-0,01;0,95
2,575;0,2031;0,01;0,96
2,600;0,2038;0,04;0,90
2,625;0,2052;0,06;0,81
2,650;0,2069;0,08;0,69
2,675;0,2091;0,09;0,55
2,700;0,2117;0,11;0,38
2,725;0,2146;0,11;0,17
2,750;0,2175;0,12;-0,03
2,775;0,2204;0,11;-0,22
2,800;0,2232;0,10;-0,41
2,825;0,2258;0,09;-0,58
2,850;0,2279;0,08;-0,72
2,875;0,2296;0,06;-0,82
2,900;0,2306;0,03;-0,90
2,925;0,2313;0,01;-0,94
2,950;0,2312;-0,01;-0,93
2,975;0,2305;-0,04;-0,87
3,000;0,2293;-0,06;-0,81
