"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
4,375;0,2429;0,11;0,92
4,400;0,2462;0,13;0,64
4,425;0,2498;0,15;0,31
4,450;0,2536;0,15;-0,04
4,475;0,2576;0,14;-0,37
4,500;0,2610;0,13;-0,65
4,525;0,2639;0,11;-0,90
4,550;0,2667;0,09;-1,16
4,575;0,2685;0,05;-1,35
4,600;0,2694;0,01;-1,43
4,625;0,2692;-0,02;-1,40
4,650;0,2682;-0,06;-1,31
4,675;0,2665;-0,09;-1,16
4,700;0,2638;-0,12;-0,93
4,725;0,2605;-0,14;-0,63
4,750;0,2569;-0,15;-0,30
4,775;0,2531;-0,15;0,04
4,800;0,2492;-0,14;0,37
4,825;0,2457;-0,13;0,69
4,850;0,2426;-0,11;0,97
4,875;0,2400;-0,08;1,19
4,900;0,2384;-0,05;1,34
4,925;0,2375;-0,01;1,40
4,950;0,2377;0,02;1,38
4,975;0,2387;0,06;1,30
5,000;0,2406;0,09;1,15
5,025;0,2431;0,12;0,93
5,050;0,2464;0,14;0,64
5,075;0,2501;0,15;0,29
5,100;0,2539;0,15;-0,05
5,125;0,2577;0,14;-0,39
5,150;0,2613;0,13;-0,71
5,175;0,2645;0,11;-0,99
5,200;0,2669;0,08;-1,20
5,225;0,2685;0,05;-1,33
5,250;0,2694;0,01;-1,41
5,275;0,2692;-0,02;-1,41
5,300;0,2680;-0,06;-1,31
5,325;0,2662;-0,09;-1,12
5,350;0,2634;-0,12;-0,87
5,375;0,2602;-0,14;-0,58
5,400;0,2566;-0,15;-0,28
5,425;0,2528;-0,15;0,03
5,450;0,2490;-0,14;0,37
5,475;0,2454;-0,13;0,71
5,500;0,2422;-0,11;1,01
5,525;0,2398;-0,08;1,23
5,550;0,2382;-0,05;1,36
5,575;0,2375;-0,01;1,41
5,600;0,2377;0,03;1,39
5,625;0,2389;0,06;1,29
5,650;0,2409;0,09;1,11
5,675;0,2435;0,12;0,86
5,700;0,2469;0,14;0,57
5,725;0,2505;0,15;0,25
5,750;0,2543;0,15;-0,07
5,775;0,2581;0,14;-0,39
5,800;0,2615;0,13;-0,69
5,825;0,2646;0,11;-0,99
5,850;0,2671;0,08;-1,23
5,875;0,2686;0,04;-1,40
5,900;0,2694;0,01;-1,45
5,925;0,2691;-0,03;-1,38
5,950;0,2677;-0,06;-1,24
5,975;0,2658;-0,09;-1,06
6,000;0,2631;-0,12;-0,86
6,025;0,2598;-0,14;-0,60
6,050;0,2562;-0,15;-0,27
6,075;0,2523;-0,15;0,10
6,100;0,2485;-0,14;0,45
6,125;0,2450;-0,13;0,76
6,150;0,2421;-0,10;1,01
6,175;0,2396;-0,08;1,21
6,200;0,2382;-0,04;1,34
6,225;0,2375;-0,01;1,40
6,250;0,2378;0,03;1,37
6,275;0,2390;0,06;1,27
6,300;0,2411;0,09;1,09
6,325;0,2438;0,12;0,86
6,350;0,2471;0,14;0,57
6,375;0,2508;0,15;0,23
6,400;0,2546;0,15;-0,11
6,425;0,2584;0,14;-0,44
6,450;0,2619;0,13;-0,74
6,475;0,2648;0,10;-1,01
6,500;0,2672;0,08;-1,24
6,525;0,2686;0,04;-1,39
6,550;0,2694;0,00;-1,42
6,575;0,2689;-0,03;-1,35
6,600;0,2675;-0,06;-1,22
6,625;0,2657;-0,09;-1,07
6,650;0,2629;-0,12;-0,87
6,675;0,2595;-0,14;-0,58
6,700;0,2559;-0,15;-0,24
6,725;0,2519;-0,15;0,13
6,750;0,2481;-0,14;0,48
6,775;0,2447;-0,13;0,80
6,800;0,2417;-0,10;1,05
6,825;0,2395;-0,07;1,24
6,850;0,2381;-0,04;1,35
6,875;0,2375;0,00;1,39
6,900;0,2378;0,03;1,36
6,925;0,2392;0,07;1,25
6,950;0,2412;0,10;1,08
6,975;0,2440;0,12;0,85
7,000;0,2474;0,14;0,54
7,025;0,2512;0,15;0,19
7,050;0,2550;0,15;-0,17
7,075;0,2588;0,14;-0,50
7,100;0,2622;0,12;-0,79
7,125;0,2650;0,10;-1,03
7,150;0,2672;0,07;-1,20
7,175;0,2686;0,04;-1,34
7,200;0,2692;0,00;-1,41
7,225;0,2689;-0,03;-1,39
7,250;0,2675;-0,07;-1,26
7,275;0,2653;-0,10;-1,06
7,300;0,2626;-0,12;-0,80
7,325;0,2591;-0,14;-0,51
7,350;0,2555;-0,15;-0,19
7,375;0,2516;-0,15;0,15
7,400;0,2480;-0,14;0,49
7,425;0,2445;-0,12;0,80
7,450;0,2415;-0,10;1,05
7,475;0,2395;-0,07;1,24
7,500;0,2381;-0,04;1,36
7,525;0,2375;0,00;1,41
7,550;0,2380;0,04;1,36
7,575;0,2394;0,07;1,24
7,600;0,2416;0,10;1,05
7,625;0,2443;0,12;0,81
7,650;0,2477;0,14;0,51
7,675;0,2515;0,15;0,19
7,700;0,2553;0,15;
7,725;0,2591;0,14;
7,750;0,2624;;
