"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2593;;
0,025;0,2558;-0,12;
0,050;0,2531;-0,10;1,26
0,075;0,2510;-0,06;1,37
0,100;0,2499;-0,03;1,44
0,125;0,2497;0,01;1,45
0,150;0,2504;0,05;1,37
0,175;0,2523;0,08;1,20
0,200;0,2546;0,11;0,96
0,225;0,2577;0,13;0,67
0,250;0,2613;0,14;0,31
0,275;0,2651;0,15;-0,08
0,300;0,2689;0,14;-0,45
0,325;0,2722;0,12;-0,76
0,350;0,2751;0,10;-1,04
0,375;0,2774;0,07;-1,27
0,400;0,2788;0,04;-1,42
0,425;0,2792;0,00;-1,46
0,450;0,2787;-0,04;-1,40
0,475;0,2772;-0,07;-1,26
0,500;0,2750;-0,10;-1,04
0,525;0,2719;-0,13;-0,75
0,550;0,2684;-0,14;-0,39
0,575;0,2647;-0,15;-0,02
0,600;0,2609;-0,14;0,35
0,625;0,2574;-0,13;0,69
0,650;0,2543;-0,11;1,01
0,675;0,2519;-0,08;1,26
0,700;0,2503;-0,04;1,41
0,725;0,2497;-0,01;1,45
0,750;0,2501;0,03;1,40
0,775;0,2512;0,07;1,29
0,800;0,2534;0,10;1,10
0,825;0,2562;0,12;0,83
0,850;0,2596;0,14;0,48
0,875;0,2634;0,15;0,09
0,900;0,2672;0,14;-0,29
0,925;0,2706;0,13;-0,62
0,950;0,2739;0,11;-0,91
0,975;0,2763;0,09;-1,16
1,000;0,2783;0,05;-1,36
1,025;0,2792;0,02;-1,47
1,050;0,2790;-0,02;-1,45
1,075;0,2780;-0,06;-1,32
1,100;0,2760;-0,09;-1,12
1,125;0,2734;-0,12;-0,87
1,150;0,2702;-0,13;-0,56
1,175;0,2665;-0,14;-0,21
1,200;0,2628;-0,14;0,16
1,225;0,2591;-0,14;0,51
1,250;0,2558;-0,12;0,84
1,275;0,2531;-0,09;1,13
1,300;0,2510;-0,06;1,35
1,325;0,2499;-0,02;1,45
1,350;0,2499;0,01;1,45
1,375;0,2505;0,05;1,37
1,400;0,2524;0,08;1,20
1,425;0,2548;0,11;0,95
1,450;0,2581;0,13;0,62
1,475;0,2617;0,14;0,26
1,500;0,2653;0,14;-0,09
1,525;0,2691;0,14;-0,43
1,550;0,2724;0,12;-0,76
1,575;0,2753;0,10;-1,07
1,600;0,2776;0,07;-1,31
1,625;0,2788;0,03;-1,44
1,650;0,2792;-0,01;-1,46
1,675;0,2785;-0,04;-1,38
1,700;0,2770;-0,08;-1,24
1,725;0,2746;-0,10;-1,03
1,750;0,2717;-0,13;-0,74
1,775;0,2681;-0,14;-0,35
1,800;0,2641;-0,15;0,07
1,825;0,2605;-0,14;0,42
1,850;0,2572;-0,12;0,71
1,875;0,2541;-0,10;0,99
1,900;0,2519;-0,08;1,24
1,925;0,2503;-0,04;1,41
1,950;0,2497;0,00;1,45
1,975;0,2502;0,03;1,39
2,000;0,2516;0,07;1,26
2,025;0,2536;0,10;1,07
2,050;0,2565;0,12;0,80
2,075;0,2599;0,14;0,45
2,100;0,2637;0,15;0,06
2,125;0,2673;0,14;-0,30
2,150;0,2710;0,13;-0,64
2,175;0,2741;0,11;-0,94
2,200;0,2765;0,08;-1,19
2,225;0,2783;0,05;-1,37
2,250;0,2792;0,01;-1,45
2,275;0,2788;-0,03;-1,43
2,300;0,2778;-0,06;-1,31
2,325;0,2758;-0,09;-1,11
2,350;0,2731;-0,12;-0,84
2,375;0,2698;-0,14;-0,53
2,400;0,2662;-0,14;-0,18
2,425;0,2624;-0,14;0,20
2,450;0,2588;-0,13;0,56
2,475;0,2555;-0,12;0,89
2,500;0,2529;-0,09;1,14
2,525;0,2510;-0,06;1,33
2,550;0,2499;-0,02;1,44
2,575;0,2499;0,02;1,45
2,600;0,2507;0,05;1,35
2,625;0,2526;0,09;1,16
2,650;0,2552;0,11;0,91
2,675;0,2582;0,13;0,61
2,700;0,2618;0,14;0,27
2,725;0,2656;0,15;-0,10
2,750;0,2692;0,14;-0,48
2,775;0,2727;0,12;-0,82
2,800;0,2755;0,10;-1,09
2,825;0,2776;0,07;-1,30
2,850;0,2788;0,03;-1,43
2,875;0,2792;-0,01;-1,45
2,900;0,2783;-0,04;-1,36
2,925;0,2768;-0,08;-1,21
2,950;0,2744;-0,10;-1,00
2,975;0,2715;-0,13;-0,72
3,000;0,2679;-0,14;-0,33
3,025;0,2640;-0,15;0,07
3,050;0,2605;-0,14;0,43
3,075;0,2571;-0,12;0,73
3,100;0,2541;-0,10;1,01
3,125;0,2518;-0,07;1,24
3,150;0,2504;-0,04;1,39
3,175;0,2499;0,00;1,44
3,200;0,2504;0,04;1,40
3,225;0,2517;0,07;1,25
3,250;0,2540;0,10;1,02
3,275;0,2569;0,12;0,73
3,300;0,2603;0,14;0,42
3,325;0,2637;0,14;0,10
3,350;0,2675;0,14;-0,26
3,375;0,2711;0,13;-0,65
3,400;0,2743;0,11;-0,99
3,425;0,2767;0,08;-1,23
3,450;0,2783;0,05;-1,36
3,475;0,2790;0,01;-1,43
3,500;0,2789;-0,03;-1,43
3,525;0,2777;-0,06;-1,33
3,550;0,2756;-0,10;-1,11
3,575;0,2727;-0,12;-0,81
3,600;0,2695;-0,14;-0,49
3,625;0,2659;-0,14;-0,13
3,650;0,2621;-0,14;0,24
3,675;0,2584;-0,13;0,61
3,700;0,2553;-0,11;0,93
3,725;0,2527;-0,08;1,17
3,750;0,2510;-0,05;1,33
3,775;0,2501;-0,02;1,41
3,800;0,2501;0,02;1,42
3,825;0,2511;0,06;1,33
3,850;0,2529;0,09;1,15
3,875;0,2555;0,11;0,88
3,900;0,2588;0,13;0,55
3,925;0,2624;0,14;0,20
3,950;0,2660;0,14;-0,14
3,975;0,2696;0,13;-0,48
4,000;0,2729;0,12;-0,81
4,025;0,2756;0,09;-1,10
4,050;0,2777;0,06;-1,31
4,075;0,2788;0,03;-1,41
4,100;0,2790;-0,01;-1,42
4,125;0,2784;-0,05;-1,37
4,150;0,2767;-0,08;-1,23
4,175;0,2743;-0,11;-1,00
4,200;0,2712;-0,13;-0,66
4,225;0,2674;-0,14;-0,27
4,250;0,2638;-0,14;0,10
4,275;0,2602;-0,14;0,44
4,300;0,2567;-0,12;0,75
4,325;0,2539;-0,10;1,03
4,350;0,2517;-0,07;1,26
4,375;0,2503;-0,04;1,41
4,400;0,2499;0,00;1,45
4,425;0,2504;0,04;1,37
4,450;0,2519;0,07;1,21
4,475;0,2541;0,10;1,00
4,500;0,2570;0,12;0,77
4,525;0,2603;0,14;0,46
4,550;0,2641;0,15;0,07
4,575;0,2680;0,14;-0,36
4,600;0,2715;0,13;-0,73
4,625;0,2744;0,11;-1,01
4,650;0,2769;0,08;-1,22
4,675;0,2785;0,04;-1,37
4,700;0,2790;0,01;-1,43
4,725;0,2789;-0,03;-1,40
4,750;0,2775;-0,06;-1,28
4,775;0,2755;-0,10;-1,09
4,800;0,2727;-0,12;-0,81
4,825;0,2693;-0,14;-0,47
4,850;0,2657;-0,14;-0,10
